accelerate#v	inform%2:32:00::	inform#v#1	w2s-1
transfer#v	retreat%2:38:02::	retreat#v#2	w2s-453
transplant#n	animal_tissue%1:08:00::	animal_tissue#n#1	w2s-454
tropical#a	metaphorical%5:00:00:figurative:00	metaphorical#a#1	w2s-455
turbocharge#v	supply%2:40:00::	supply#v#1	w2s-456
ultra#a	immoderate%3:00:00::	immoderate#a#1	w2s-457
undeveloped#a	developed%3:00:00::	developed#a#1	w2s-458
union#n	healing%1:22:00::	healing#n#1	w2s-459
unique#a	lone%5:00:00:single:05	lone#a#3	w2s-460
United_Kingdom#n	potted%5:00:00:abridged:00	potted#a#3	w2s-461
university#n	university_of_michigan%1:06:00::	University_of_Michigan#n#1	w2s-462
unwilling#a	intractable%3:00:00::	intractable#a#1	w2s-463
up-to-date#a	incumbent%5:00:00:current:00	incumbent#a#3	w2s-464
useful#a	expedient%3:00:00::	expedient#a#1	w2s-465
valley#n	canyon%1:17:00::	canyon#n#1	w2s-466
value#n	numerical_quantity%1:09:00::	numerical_quantity#n#1	w2s-467
varied#a	exchanged%5:00:00:changed:00	exchanged#a#1	w2s-468
victor#n	contestant%1:18:00::	contestant#n#1	w2s-469
virginia#n	power%1:07:00::	power#n#1	w2s-470
visit#v	shmooze%2:32:00::	shmooze#v#1	w2s-471
volunteer#v	putter%2:35:01::	putter#v#2	w2s-472
vote#n	election%1:04:01::	election#n#1	w2s-473
vote#v	state%2:32:02::	state#v#3	w2s-474
vulnerable#a	allergic%5:00:00:susceptible:00	allergic#a#2	w2s-475
waiter#n	dining-room_attendant%1:18:00::	dining-room_attendant#n#1	w2s-476
war#n	people%1:14:01::	people#n#2	w2s-477
waterloo#n	town%1:15:00::	town#n#1	w2s-478
way#n	sea_room%1:23:00::	sea_room#n#1	w2s-479
weed#n	marijuana%1:06:00::	marijuana#n#2	w2s-480
western#a	continental%3:00:00::	continental#a#4	w2s-481
whipped#a	subservient%5:00:00:servile:00	subservient#a#3	w2s-482
white#a	good%3:00:02::	good#a#3	w2s-483
wide#a	generous%5:00:00:ample:00	generous#a#3	w2s-484
wildlife#n	life%1:03:00::	life#n#10	w2s-485
wind#v	beat%2:35:01::	beat#v#2	w2s-486
winner#n	prize_winner%1:18:00::	prize_winner#n#1	w2s-487
withdraw#v	pocket%2:40:00::	pocket#v#1	w2s-488
word#n	byte%1:23:00::	byte#n#1	w2s-489
wordnet#n	trademark%1:10:00::	trademark#n#2	w2s-490
work#v	farm%2:41:00::	farm#v#1	w2s-491
wrestler#n	yakuza%1:14:00::	yakuza#n#2	w2s-492
write#v	correspond%2:32:00::	correspond#v#3	w2s-493
yahoo#n	trademark%1:10:00::	trademark#n#2	w2s-494
yapper#n	tooth%1:08:00::	tooth#n#1	w2s-495
york#n	royalty%1:14:00::	royalty#n#2	w2s-496
young#a	junior%5:00:00:young:00	junior#a#3	w2s-497
youth#n	youngness%1:07:00::	youngness#n#1	w2s-498
zen#n	buddhism%1:14:00::	Buddhism#n#1	w2s-499
zero-day#a	new%3:00:00::	new#a#1	w2s-500
