a cappella	without accompaniment
fanfare	publicity
farcical	absurd, ridiculous
farrago	mixture
fascism	totalitarianism, extreme nationalism
fastidious	meticulous
fatal	resulting in death
fathom	understand
fatuity	foolishness
fatuous	inane, stupid
fauna	animals
faux	pas false step, mistake
fealty	loyalty
feasible	likely to succeed
feat	deed, remarkable achievement
febrile	feverish, delirious
feckless	incompetent
fecund	fertile
feign	pretend
felicity	happiness
felonious	criminal
femme fatale	a woman who leads men to their destruction 
fend	ward off 
feral	untamed, wild 
ferment	turmoil 
ferret	rummage through 
fertile	fruitful 
fervor	intensity 
fester	decay, to make someone increasingly bitter 
festive	joyous 
festoon	decorate 
fete	to honor with an event
fetid	stinking
fetters	shackles
fey	eccentric, whimsical
fiasco	debacle
fiat	decree
fickle	always changing one’s mind
fictitious	invented, imaginary
fidelity	loyalty
figment	falsehood, fantasy
filch	steal
filial	son
filibuster	long speech
fillip	stimulus
finale	conclusion
finesse	skill
firebrand	agitator
firmament	sky
fiscal	monetary
fitful	starting and stopping irregularly
fjord	coastal inlet
flabbergasted	amazed, bumdfounded
flagellate	whip
flagrant	outrageous, blatant
flail	whip, to thrash something around uncontrollably and menacingly
fledgling	just beginning, struggling
flippant	pert, glib, dismissive
florid	ruddy, ornate
flout	to show disregard for the law or rules
fluctuate	waver, vary
foible	weakness, minor fault
foil	defeat, thwart
foist	palm off a fake
foment	instigate
font	source, fountainhead, set of type
forage	search for food
foray	raid
forbear	abstain, restrain oneself
force	majeure superior force
foreboding	ominous
foreclose	exclude
forensic	pertaining to debate
foresight	ability to predict the future
forestall	thwart, preempt 
forgo	relinquish (usually voluntarily) 
forsake	abandon 
forswear	deny 
forthright	frank
forthwith	immediately
fortify	strengthen
fortitude	resilience, courage
fortuitous	lucky
foster	encourage, cultivate
founder	sink, fail
fracas	noisy fight
fragile	easily broken
fragmented	broken into fragments
fraternity	brotherhood
fraught	filled
frenetic	harried, neurotic
fret	worry
fritter	squander
frivolity	playfulness
frolic	romp, play
frond	bending tree
frugal	thrifty
fruitful	productive
fruition	realization, completion 
fruitless	unprofitable, barren 
fulminate	denounce, menace 
fulsome	excessive, insincere 
fuming	angry 
furlough	leave of absence 
furor	commotion gibe heckle
furtive	stealthy
fusillade	bombardment 
futile	hopeless
gaffe	embarrassing mistake
gainful	profitable
gainsay	contradict
galvanize	excite to action
gambit	plot, strategy
gamut	range, scope
gargantuan	large
garner	gather
garnish	decorate
garrote	stranglehold
garrulous	talkative
gauche	awkward
genealogy	ancestry
generic	general
genesis	beginning
genetics	study of heredity
genre	kind, category
genteel	elegant, refined
genuflect	kneel in reverence
genuine	authentic, sincere
geriatrics	pertaining to old age
germane	relevant
ghastly	horrible
gingivitis	inflammation of the gums
gist	essence (of an argument)
glabrous	without hair
glaucoma	disorder of the eye
glean	gather
glib	insincere manner
glower	stare angrily
glut	surplus, excess
glutton	one who eats too much
gnarl	deform
gnome	dwarf-like being
goad	encourage, provoke
googol	a very large number
gorge	stuff, satiate
gorgon	ugly person
gormandize	eat voraciously
gory	bloody
gossamer	thin and flimsy
Gothic	medieval style of architecture
gouge	overcharge
gracious	kindness, politeness
gradient	incline, rising by degrees
gradual	by degrees, changing slowly
grandiose	impressive, large
granular	grainy
grapple	struggle
gratis	free
gratitude	thankfulness
gratuitous	unwarranted, uncalled for 
gratuity	tip
gravamen	the essential part of an accusation
gravity	seriousness
gregarious	sociable
grievous	tragic, heinous
grimace	expression of disgust or pain
grisly	gruesome
grovel	crawl, obey, beg
grudging	reluctant 
guffaw	laughter 
guile	deceit 
gullible	easily deceived 
gusto	great enjoyment 
guttural	throaty
gyrate	whirl
habitat	natural environment 
habituate	accustom 
hackneyed	trite 
haggard	gaunt
halcyon	serene
hale	healthy
hallucination	delusion 
hamper	obstruct 
hapless	unlucky 
harangue	tirade 
harass	torment 
harbinger	forerunner
harbor	give shelter, conceal
hardy	healthy
harlequin	clown
harp	complain incessantly
harridan	hag
harrowing	distressing
harry	harass
haughty	arrogant
haven	refuge
havoc	destruction, chaos
hearsay	gossip
hedonism	the pursuit of pleasure in life
heed	follow advice
heedless	careless
hegemony	authority, domination
hegira	a journey to a more pleasant place
heinous	vile, atrocious
heliocentric	having the sun as a center
helix	a spiral
helots	slaves
herald	harbinger
herbivorous	feeding on plants
Herculean	powerful, large
hermetic	airtight, sealed
hermit	one who lives in solitude
herpetologist	one who studies reptiles
heterodox	departing form established doctrines
heuristic	teaching device or method
hew	cut
heyday	glory days, prime
hiatus	interruption
hibernal	wintry
hidalgo	nobleman
hidebound	prejudiced, provincial 
hideous	horrible 
hie	to hasten 
highbrow	intellectual 
hirsute	bearded 
histrionic	overly dramatic 
holograph	written entirely by hand
homage	respect
homely	plain
homily	sermon
homogeneous	uniform
homonym	words that are identical in spelling and pronunciation
hone	sharpen 
horde	group 
hortatory	inspiring good deeds 
hospice	shelter 
hovel	shanty, cabin 
hoyden	tomboy 
hubris	arrogance 
hue	color 
humane	compassionate 
humanities	languages and literature 
humility	humbleness 
hummock	knoll, mound 
humus	soil 
husbandry	management 
hybrid	crossbreed 
hydrophobia	fear of water 
hygienic	sanitary
hymeneal	pertaining to marriage
hymn	religious song
hyperactive	overactive
hyperbole	exaggeration
hypertension	elevated blood pressure
hypocritical	deceiving, two-faced
hypoglycemic	low blood sugar
hypothermia	low body temperature
ibidem	in the same place
ichthyology	study of fish
iconoclast	one who rails against sacred institutions
idiosyncrasy	peculiarity
idyllic	natural, picturesque
ignoble	dishonorable
ilk	class, clan
illicit	unlawful
illimitable	limitless
illusory	fleeting, deceptive
illustrious	famous
imbibe	drink
imbue	infuse
immaculate	spotlessly clean
immaterial	irrelevant
immense	huge
immerse	bathe, engross 
imminent	about to happen 
immobile	still
immolate	sacrifice (especially by fire) 
immunity	exemption from prosecution
immure	build a wall around
immutable	unchangeable, absolute
impair	injure
impale	pierce
impartial	not biased
impasse	deadlock
impassioned	fiery, emotional
impassive	calm
impeach	accuse, charge
impeccable	faultless
impecunious	indigent
impede	hinder
impediment	obstacle
impel	urge, force
impending	approaching, imminent
imperative	vital, pressing
imperceptible	slight, intangible 
imperialism	colonialism
imperil	endanger
imperious	domineering
impertinent	insolent
imperturbable	calm, unflappable
impervious	impenetrable, unreceptive
impetuous	impulsive
impetus	stimulus, spark
impinge	encroach, touch
implant	instill
implausible	unlikely, improbable
implement	carry out, execute
implicate	incriminate
implicit	implied
implore	entreat
implosion	bursting inward
impolitic	unwise, inappropriate
imponderable	difficult to estimate 
import	meaning, significance 
importune	urgent request 
imposing	intimidating, stately 
imposition	intrusion, burden 
impotent	powerless 
impound	seize 
imprecation	curse, inculcate 
impregnable	invincible 
impresario	promoter 
impressionable	susceptible, easily
impressionism	a style of painting
imprimatur	sanction
impromptu	spontaneous
improvise	invent
impudence	insolence
impugn	criticize, accuse
impulse	inclination, sudden desire
impulsive	to act suddenly
impunity	exemption from harm
impute	charge
in toto	in full, entirely
inadvertent	unintentional
inadvisable	not recommended
inalienable	that which cannot be taken away
inane	vacuous, stupid
inanimate	inorganic, lifeless
inaudible	cannot be heard
inaugurate	induct (with a ceremony)
inborn	innate
incalculable	immeasurable
incandescent	brilliant
incantation	chant
incapacitate	disable
incarcerate	imprison
incarnate	embody, personify
incendiary	inflammatory
incense	enrage
incessant	unceasing
incest	sex among family members
inchoate	just begun
incidental	insignificant, minor
incinerate	burn
incipient	beginning
incision	cut
incisive	keen, penetrating
incite	foment, provoke
incivility	rudeness
inclement	harsh, stormy
inclusive	comprehensive
incognito	disguised
incommunicado	unable to
incomparable	peerless
incompatibility	inability to live in harmony
inconceivable	unthinkable 
incongruous	out of place, absurd 
inconsiderate	thoughtless, insensitive 
inconspicuous	not noticeable
incontrovertible	indisputable
incorporate	combine
incorrigible	unreformable 
incredulous	skeptical 
increment	step, increase 
incriminate	accuse 
incubus	nightmare 
inculcate	instill, indoctrinate 
inculpate	accuse 
incumbent	obligatory 
incursion	raid 
indecent	offensive, lewd 
indecorous	unseemly 
indelible	permanent 
indemnity	insurance 
indict	charge 
indifferent	unconcerned 
indigenous	native 
indigent	poor 
indignant	resentment of injustice 
indiscreet	lacking sound judgment, rash 
indiscriminate	random
indispensable	vital, essential
indistinct	blurry, without clear features
indolent	lazy 
indomitable	invincible 
indubitable	unquestionable 
induce	persuade, provoke 
indulge	succumb to desire 
indurate	harden 
industrious	hard-working
inebriate	intoxicate
ineffable	inexpressible
ineffectual	futile
ineluctable	inescapable
inept	unfit, incompetent
inert	inactive
inestimable	priceless, immeasurable
inevitable	unavoidable, predestined
inexorable	relentless
infallible	unerring
infamous	notorious
infamy	shame
infantry	foot soldiers
infatuate	immature love
infer	conclude
infernal	hellish
infidel	nonbeliever
infidelity	disloyalty
infiltrate	trespass
infinitesimal	very small
infirmary	clinic
infirmity	ailment
inflammatory	incendiary
influenced	incentive stimulus, inducement
influx	inflow
infraction	violation
infringe	encroach
infuriate	enrage
infuse	inspire, instill
ingenious	clever, resourceful 
ingrate	ungrateful person 
ingratiate	pleasing, flattering, endearing 
ingress	entering
inherent	innate, inborn
inhibit	restrain
inimical	adverse, hostile
inimitable	peerless
iniquitous	unjust, wicked
iniquity	sin, injustice
initiate	begin
initiation	induction ceremony
injunction	command
inkling	hint
innate	inborn
innervate	invigorate
innocuous	harmless
innovative	new, useful idea
innuendo	insinuation
inopportune	untimely
inordinate	excessive
inquest	investigation 
inquisition	interrogation 
inquisitive	curious 
insatiable	gluttonous 
inscribe	engrave 
inscrutable	cannot be fully understood 
insensate	without feeling
insidious	treacherous, sinister
insignia	emblems
insinuate	allude
insipid	flat, dull
insolent	insulting
insolvent	bankrupt
insouciant	nonchalant
installment	portion, payment
instant	at once
instigate	incite
insubordinate	disobedient
insufferable	unbearable
insular	narrow-minded
insuperable	insurmountable
insurgent	rebellious
insurrection	uprising
intangible	not perceptible by touch
integral	essential
integrate	make whole
integration	unification
integument	a covering
intelligentsia	the intellectual elite of society
intensive	extreme, concentrated
inter	bury
intercede	plead on behalf of another
intercept	prevent, cut off
interdict	prohibit
interject	interrupt
interloper	intruder 
interlude	intermission 
interminable	unending 
internecine	mutually destructive 
interpolate	insert 
interpose	insert 
interregnum	interval between two successive reigns 
interrogate	question
intersperse	scatter
interstate	between states
intervene	interfere, mediate
intestate	leaving no will
intimate	allude to, hint
intractable	unmanageable
intransigent	unyielding
intrepid	fearless
intricate	complex 
intrigue	plot, mystery 
intrinsic	inherent 
introspection	self-analysis
inundate	flood
inure	accustom, habituate, harden
invalidate	disprove, nullify
invective	verbal insult
inveigh	to rail against
inveigle	lure, wheedle
inventive	cleaver, resourceful
inverse	directly opposite
inveterate	habitual, chronic
invidious	incurring ill-will
invincible	cannot be defeated
inviolate	sacred, unchangeable
invocation	calling on God
irascible	irritable
irate	angry
ironic	oddly contrary to what is expected
irrational	illogical
irrelevant	unrelated, immaterial
irreparable	cannot be repaired 
irresolute	hesitant, uncertain 
irrevocable	cannot be rescinded 
isosceles	having two equal sides 
itinerant	wandering 
itinerary	route 
jabberwocky	nonsense 
jaded	spent, bored with one’s situation 
jargon	specialized vocabulary
jaundiced	biased, embittered
jeer	mock
jejune	barren, unsophisticated
jest	joke
jilt	reject, end a relationship promptly
jingoistic	nationalistic, warmongering
jocular	humorous
jostle	push, brush against
journeyman	reliable worker 
joust	combat between knights on horses knell sound of a bell
jubilant	in high spirits
judicious	prudent
juggernaut	unstoppable force
jugular	throat
juncture	pivotal point in time
junoesque	stately beauty 
junta	small ruling group 
jurisdiction	domain
jurisprudence	law
justify	excuse, mitigate
juvenescent	making young, growing out of infancy and into childhood
juxtapose	to place side by side
kaleidoscope	series of changing events
keen	of sharp mind
ken	purview, range of comprehension
kindle	arouse, inspire
kindred	similar, related by blood
kinetic	pertaining to motion
kismet	fate, the will of Allah
kite	bad check
kitsch	trashy art
kleptomania	impulse to steal
knave	con man
knead	massage, to fold, press, and stretch a substance into a uniform mass
Koran	holy book of Islam
kowtow	behave obsequiously
kudos	acclaim
labyrinth	maze
lacerate	tear, cut
lachrymose	tearful 
lackey	servant 
laconic	brief, terse 
lactic	derived from milk
lacuna	a missing part, gap
laggard	loafer, slacker
lagniappe	bonus 
laity	laymen 
lambent	softly radiant 
lament	mourn 
lamina	layer 
lampoon	satirize 
languish	weaken
lanyard	short rope
larceny	theft
largess	generous donation
lascivious	lustful
lassitude	lethargy 
latent	potential, dormant 
laudatory	commendable 
laurels	fame, success 
lave	wash 
lavish	extravagant 
lax	loose, careless 
laxity	carelessness
layman	nonprofessional 
lectern	reading desk 
leery	cautious, doubtful 
legacy	bequest 
legerdemain	trickery 
legible	readable 
legislate	make laws 
legitimate	lawful 
lenient	forgiving 
lethargic	drowsy, sluggish
levee	embankment, dam
leviathan	a monster
levity	frivolity
liable	legally responsible
liaison	relationship, affair
libertarian	one who believes in complete freedom
libertine	roué, rake
libidinous	lustful
licentious	lewd, immoral
lien	financial claim
lieutenant	one who acts in place of another
ligature	bond
ligneous	woodlike
Lilliputian	very small
limerick	poem
limn	portray, describe
limpid	transparent, clearly understood
linchpin	something that is indispensable
lineage	ancestry
linguistics	study of language
liquidate	eliminate
lissome	agile, supple
listless	lacking spirit or interest
litany	list
lithe	supple
litigate	contest with a lawsuit
litotes	two negative statement that cancel to make a positive statement 
liturgy	ceremony 
livid	enraged 
loath	reluctant 
loathe	abhor, dislike 
lofty	high 
logistics	means of supplying troops 
logo	symbol 
logy	sluggish
loquacious	talkative
lothario	rake, womanizer
lout	goon, hoodlum
lucid	clearly understood
lucrative	profitable
lucre	money, profit
ludicrous	absurd
lugubrious	extremely sad
luminous	bright
lupine	wolf-like
lure	entice
lurid	ghastly, sensational
luster	gloss,sheen
luxuriant	lush, lavish
lynch	to execute by hanging without a trial
macabre	gruesome 
Machiavellian	politically crafty, cunning
machination	plot
macrobiosis	longevity
macroscopic	visibly large
maelstrom	whirlpool
magisterial	arbitrary, dictatorial
magnanimous	generous, kindhearted
magnate	a powerful, successful person (especially of business)
magnitude	size
magnum	opus masterpiece
maim	injure, disfigure
maladjusted	disturbed
maladroit	clumsy
malady	illness
malaise	uneasiness, weariness
malapropism	comical misuse of a word
malcontent	one who is forever dissatisfied
malediction	curse
malefactor	evildoer
malevolence	bad intent, malice
malfeasance	wrong doing (especially by an official of government)
malice	spite
malign	defame
malignant	virulent, pernicious
malinger	shirk
malleable	moldable, tractable
malodorous	fetid 
mammoth	huge 
manacle	shackle 
mandate	command 
mandatory	obligatory 
mandrill	baboon 
mania	madness, obsession 
manifest	obvious, evident 
manifesto	proclamation 
manifold	multiple, diverse 
manslaughter	killing another person without malice 
manumit	set free
manuscript	unpublished book
mar	damage
marauder	plunderer
marginal	insignificant
marionette	puppet
maroon	abandon
marshal	array, mobilize
martial	warlike
martinet	disciplinarian
martyr	sacrifice, symbol
masochist	one who enjoys pain
masticate	chew
mastiff	large dog
mastodon	extinct elephant
maternal	motherly
maternity	motherhood
matriarch	matron
matriculate	enroll (usually in school)
matrix	array
matutinal	early, morning
maudlin	weepy, sentimental
maul	rough up
mausoleum	tomb
maverick	a rebel, individualist
mawkish	sickeningly sentimental
mayhem	mutilation, chaos
mea culpa	my fault
meager	scanty 
meander	roam, ramble 
median	middle
mediocre	average
medley	mixture
megalith	ancient stone monument
melancholy	reflective, gloomy
melee	riot
mellifluous	sweet sounding
melodious	melodic
memento	souvenir
memoir	autobiography
memorabilia	things worth remembering
memorandum	note 
menagerie	zoo 
mendacity	untruth 
mendicant	beggar 
menial	humble, degrading 
mentor	teacher 
mercantile	commercial 
mercenary	calculating, venal
mercurial	changeable, volatile
metamorphosis	a change in form
mete	distribute
meteoric	swift, dazzling 
meteorology	science of weather 
methodical	systematic, careful 
meticulous	extremely careful, precise
metier	occupation
metonymy	the substitution of a phrase for the name itself
mettle	courage, capacity for bravery
miasma	toxin fumes
mien	appearance, bearing
migrate	travel
milieu	environment
militant	combative, activist
militate	work against
milk	extract
millennium	thousand-year period
minatory	threatening
mince	chop, moderate
minion	subordinate
minstrel	troubadour
minuscule	small
minute	very small
minutiae	trivia
mirage	illusion
mire	marsh, a situation that is difficult to escape from
mirth	jollity
misanthrope	hater of mankind
misappropriation	use dishonestly
misbegotten	illegitimate, obtained by dishonest means
miscarry	abort
miscegenation	intermarriage between races
miscellany	mixture of items 
misconstrue	misinterpret 
miscreant	evildoer 
misgiving	doubt, hesitation
misnomer	wrongly named
misogyny	hatred of women
misshapen	deformed 
missive	letter 
mitigate	lessen the severity 
mnemonics	that which aids the memory mote speck
mobilize	assemble for action
mobocracy	rule by mob
modicum	pittance
modish	chic
module	unit
mogul	powerful person
molest	bother, sexually assault
mollify	appease
molten	melted
momentous	of great importance
monocle	eyeglass
monolithic	large and uniform
monologue	long speech
monstrosity	distorted, abnormal form
moot	disputable, no longer relevant 
moral	ethical muster to gather one’s forces
morale	spirit, confidence 
morass	swamp, difficult situation 
moratorium	postponement 
mordant	biting, sarcastic 
mores	moral standards 
moribund	near death 
morose	sullen 
morphine	painkilling drug 
morsel	bite, piece
mortify	humiliate
mosque	temple
motif	artistic theme
motive	reason for doing something
motley	diverse
mottled	spotted
motto	slogan, saying
mountebank	charlatan
mousy	drab, colorless
muckraker	reformer
muffle	stifle, quiet
mulct	defraud
multifarious	diverse, many-sided
multitude	throng
mundane	ordinary
munificent	generous
murmur	mutter, mumble
muse	ponder
mutability	able to change
mute	silent
mutilate	maim
mutiny	rebellion
mutter	murmur, grumble
muzzle	restrain, stifle
myopic	narrow-minded
myriad	innumerable
myrmidons	loyal followers
mystique	mystery, aura
mythical	fictitious
nadir	lowest point 
name	of a father
narcissism	self-love 
narrate	tell, recount
nascent	incipient 
natal	related to birth 
nativity	the process of birth 
naturalize	grant citizenship 
ne’er-do-well	loafer, idler 
nebulous	indistinct 
necromancy	sorcery 
nefarious	evil 
negate	cancel 
negligible	insignificant 
nemesis	implacable foe
neologism	newly coined expression 
neonatal	newborn 
neophyte	beginner 
nepotism	favoritism 
nervy	brash 
nether	under 
nettle	irritate 
neurotic	disturbed 
neutralize	offset, nullify 
nexus	a link between two or more people or things
nicety	euphemism
niche	nook, an activity that well suits a person’s talents
niggardly	stingy
nimble	spry
nirvana	bliss, the attainment of spiritual enlightenment
noctambulism	sleepwalking
nocturnal	pertaining to night
nocturne	serenade
noisome	harmful, disgusting
nomad	wanderer
nomenclature	terminology
nominal	slight, in name only
nominate 	propose, recommend somebody for a position
nominee	candidate
nonchalant	casual
noncommittal	neutral, circumspect
nondescript	lacking distinctive features
nonentity	person of no significance
nonesuch	paragon, one in a thousand
nonpareil	unequaled, peerless
nonpartisan	neutral, uncommitted
nonplus	confound, befuddle
notable	remarkable, noteworthy
noted	famous
notorious	wicked, widely known
nouveau riche	newly rich
nova	bright star 
novel	new, unique 
novice	beginner 
noxious	toxic 
nuance	shade, subtlety 
nub	crux, crucial point 
nubile	marriageable 
nugatory	useless, worthless 
nuisance	annoyance 
nullify	void 
nullity	nothingness 
numismatics	coin collecting 
nurture	nourish, foster 
nymph	goddess 
oaf	awkward person
obdurate	unyielding, hardhearted
obeisance	homage, deference
obelisk	tall column, monument
obese	fat
obfuscate	bewilder, muddle
obituary	eulogy
objective (adj.)	unbiased
objective (noun)	goal
objectivity	impartiality
oblation	offering, sacrifice
obligatory	required, compulsory
oblige	compel
obliging	accommodating, considerate
oblique	indirect
obliquity	perversity
obliterate	destroy
oblong	elliptical, oval
obloquy	slander
obscure	vague, unclear
obsequious	fawning, servile
obsequy	funeral ceremony
observant	watchful
obsolete	outdated
obstinate	stubborn 
obstreperous	noisy, unruly 
obtain	gain possession 
obtrusive	forward, meddlesome 
obtuse	stupid
obviate	make unnecessary
Occident	the West
occlude	block
occult	mystical, secret, relating to the supernatural or witchcraft
octogenarian	person in her eighties 
ocular	optic, visual 
ode	poem
odious	despicable 
odoriferous	pleasant odor 
odyssey	journey 
offal	inedible parts of a butchered animal 
offertory	church collection
officiate	supervise
officious	forward, obtrusive
offset	counterbalance
ogle	flirt opus literary work or musical composition
ogre	monster, demon oracle prophet
oleaginous	oily 
oligarchy	aristocracy 
olio	medley 
ominous	threatening 
omnibus	collection, compilation 
omnipotent	all-powerful
omniscient	all-knowing
onerous	burdensome
onslaught	powerful attack
ontology	the study of the nature of existence
onus	burden
opaque	nontransparent
operative	working
operetta	musical comedy
opiate	narcotic
opine	think, express an opinion
opportune	well-timed, appropriate
oppress	persecute
oppressive	burdensome
opprobrious	abusive, scornful
opprobrium	disgrace
oppugn	assail
opt	decide, choose
optimum	best condition
optional	elective
opulence	wealth
oration	speech
orator	speaker
orb	sphere
orchestrate	organize
ordain	appoint
orderly	neat, arranged 
ordinance	law 
ordnance	artillery 
orient	align, familiarize
orison	prayer
ornate	lavishly decorated
ornithology	study of birds 
orthodox	conventional 
oscillate	waver, swing 
ossify	harden 
ostensible	apparent, seeming 
ostentatious	pretentious 
ostracize	banish, shun 
otherworldly	spiritual 
otiose	idle 
ouster	ejection
outmoded	out-of-date
outré	eccentric
outset	beginning
ovation	applause
overrule	disallow
overture	advance, proposal
overweening	arrogant, forward
overwhelm	overpower
overwrought	overworked, high-strung
ovum	egg, cell
pachyderm	elephant 
pacifist	one who opposes all violence 
pacify	appease
pact	agreement
paean	a song of praise
pagan	heathen, ungodly
page	attendant
pageant	exhibition, show
pains	great effort, attention to detail
painstaking	taking great care, thorough
palatial	grand, splendid
palaver	babble, nonsense
Paleolithic	stone age
paleontologist	one who studies fossils
pall	to become dull or weary
palliate	assuage
pallid	pale, sallow
palpable	touchable
palpitate	beat, throb
palsy	paralysis
paltry	scarce
pan	criticize
panacea	cure-all
panache	flamboyance
pandemic	widespread, plague
pandemonium	din, commotion
pander	cater to people’s baser instincts
panegyric	praise
pang	short sharp pain
panoply	full suit of armor
panorama	vista
pant	gasp, puff
pantomime	mime
pantry	storeroom 
papyrus	paper 
parable	allegory 
paradigm	a model 
paragon	standard of excellence
parameter	limit 
paramount	chief, foremost 
paramour	lover 
paranoid	obsessively suspicious, demented 
paranormal	supernatural
parapet	rampart, defense
paraphernalia	equipment
paraphrase	restatement
parcel	package
parchment	paper
pare	peel
parenthetical	in parentheses
pariah	outcast
parish	fold, church
parity	equality
parlance	local speech
parlay	increase
parley	conference
parochial	provincial
parody	imitation, ridicule
parole	release 
paroxysm	outburst, convulsion 
parrot	mimic 
parry	avert, ward off
parsimonious	stingy
parson	clergyman
partake	share, receive, consume
partial	incomplete
partiality	bias
parting	farewell, severance
partisan	supporter
partition	division
parvenu	newcomer, social climber
pasquinade	satire
passé	outmoded
passim	here and there
pastel	pale
pasteurize	disinfect
pastoral	rustic
patent	obvious
paternal	fatherly
pathetic	pitiful
pathogen	agent causing disease
pathogenic	causing disease
pathos	emotion
patrician	aristocrat
patrimony	inheritance
patronize	condescend
patronymic	a name formed form the
patter	walk lightly
paucity	scarcity
paunch	stomach 
pauper	poor person 
pavilion	tent
pawn (noun)	tool, stooge 
pawn (verb	 pledge 
pax	peace 
peaked	wan, pale, haggard 
peal	reverberation, outburst 
peccadillo	a minor fault 
peculate	embezzle 
peculiar	unusual 
peculiarity	characteristic 
pedagogical	pertaining to teaching 
pedagogue	dull, formal teacher 
pedant	pedagogue 
pedantic	bookish 
peddle	sell 
pedestrian	common 
pedigree	genealogy 
peerage	aristocracy 
peevish	cranky
pejorative	insulting
pell-mell	in a confused manner 
pellucid	transparent
pen	write
penance	atonement
penchant	inclination
pend	depend, hang
pending	not decided, awaiting
penitent	repentant
pensive	sad
penurious	stingy
penury	poverty
peon	common worker
per	se in itself
perceptive	discerning
percolate	ooze, permeate
perdition	damnation
peregrination	wandering
peremptory	dictatorial
perennial	enduring, lasting 
perfectionist	purist, precisionist 
perfidious	treacherous (of a person) 
perforate	puncture 
perforce	by necessity 
perfunctory	careless 
perigee	point nearest to the earth
perilous	dangerous 
peripatetic	walking about 
periphery	outer boundary 
perish	die 
perishable	decomposable 
perjury	lying 
permeate	spread throughout 
permutation	reordering 
pernicious	destructive, evil 
peroration	conclusion 
perpendicular	at right angles 
perpetrate	commit
perpetual	continuous, everlasting 
perpetuate	cause to continue 
perpetuity	eternity 
perplex	puzzle, bewilder 
perquisite	reward, bonus 
persecute	harass 
persevere	persist, endure 
persona	social facade 
personable	charming, friendly 
personage	official, dignitary 
personify	embody, exemplify
personnel	employees
perspicacious	keen
perspicacity	discernment, keenness
persuasive	convincing
pert	flippant, bold
pertain	to relate
pertinacious	persevering
pertinent	relevant
perturbation	agitation
peruse	read carefully
pervade	permeate
pessimist	cynic, naysayer
pestilence	disease
petite	small
petition	a written request
petrify	calcify, shock
petrology	study of rocks
pettifogger	unscrupulous lawyer
petty	trivial, niggling
petulant	irritable, peevish
phantasm	apparition
phenomena	unusual natural events
philanthropic	charitable
philanthropist	altruist
philatelist	stamp collector
philippic	invective
Philistine	barbarian
philosophical	contemplative
phlegmatic	sluggish 
phobia	fear 
phoenix	rebirth 
physic	laxative, cathartic
physique	frame, musculature
picaresque	roguish, adventurous
picayune	trifling 
piecemeal	one at a time 
pied	mottled, brindled 
piety	devoutness 
pilfer	steal 
pillage	plunder 
pillory	punish by ridicule 
pine	languish, to long for someone or something 
pinnacle	highest point
pious	devout, holy
piquant	tart-tasting, spicy
pique	sting, arouse interest
piscine	pertaining to fish
piteous	sorrowful, pathetic
pithy	concise
pitiable	miserable, wretched
pittance	alms, driblet
pittance	trifle 
pivotal	crucial 
pixilated	eccentric, possessed
placard	poster
placate	appease
placid	serene 
plagiarize	pirate, counterfeit plaintive expressing sorrow 
platitude	trite remark 
platonic	nonsexual 
plaudit	acclaim 
pleasantry	banter, persiflage
plebeian	common, vulgar
plebiscite	referendum
plenary	full
plentiful	abundant
pleonasm	redundancy, verbosity
plethora	overabundance
pliable	flexible
pliant	supple, flexible
plight	sad situation
plucky	courageous
plumb	measure
plummet	sudden shart fall
plutocrat	wealthy person
plutonium	radioactive material
poach	steal
podgy	fat
podium	stand, rostrum
pogrom	massacre, mass murder
poignant	pungent, sharp, heartbreaking
polemic	a controversy
polity	methods of government
poltroon	dastard
polychromatic	many-colored
polygamist	one who has many wives
ponder	muse, reflect
ponderous	heavy, bulky
pontiff	bishop
pontificate	to speak at length
pootroon	coward 
porcine	pig-like 
porous	permeable, spongy 
porridge	stew 
portend	signify, augur 
portent	omen 
portly	large
portmanteau	suitcase
posit	stipulate
posterior	rear, subsequent
posterity	future generations
posthaste	hastily
posthumous	after death
postulate	supposition, premise 
potent	powerful 
potentate	sovereign, king 
potion	brew 
potpourri	medley 
potter	aimlessly busy 
pragmatic	practical 
prate	babble 
prattle	chatter 
preamble	introduction 
precarious	dangerous, risky 
precedent	an act that serves as an example 
precept	principle, law
precinct	neighborhood
precipice	cliff
precipitate	cause
precipitous	steep
précis	summary
precise	accurate, detailed
preclude	prevent
precocious	more developed than is expected at a particular age
preconception	prejudgment, prejudice
precursor	forerunner
predacious	plundering
predecessor	one who proceeds
predestine	foreordain
predicament	quandary
predicate	to base an opinion on something
predilection	inclination
predisposed	inclined
preeminent	supreme
preempt	commandeer
preen	groom
prefabricated	ready-built
prefect	magistrate
preference	choice
preferment	promotion
prelate	primate, bishop
preliminary	introductory
prelude	introduction
premeditate	plan in advance
premonition	warning
prenatal	before birth
preponderance	predominance 
prepossessing	appealing, charming 
preposterous	ridiculous 
prerequisite	requirement 
prerogative	right, privilege 
presage	omen 
prescribe	urge 
presentable	acceptable, well-mannered 
preside	direct, chair 
pressing	urgent 
prestidigitator	magician 
prestige	reputation, renown 
presume	assume, deduce 
presumptuous	assuming, overconfident 
presuppose	assume
pretense	affectation, excuse
pretentious	affected, inflated
preternatural	abnormal, supernatural
pretext	excuse
prevail	triumph
prevailing	common, current
prevalent	widespread
prevaricate	lie
prick	puncture
priggish	pedantic, affected
prim	formal, prudish
