Dataset	Level1	Level2	Genre	Baseline	Score
paragraph2sentence.test	Below is the review for regular white granulated sugar twin, i bought the brown at the same time, after making the cake i tasted the brown sugar and it had the same off taste. Ive been following the Atkins plan and have been trying various no calorie sweeteners trying to find my favorite. I made a cake with this and it was awful, i used 1 cup in the recipe for the whole cake, which i have done before with splenda. I tried Sugar twin because it is a lot cheaper. The whole cake was in-edible, it had a very sweet chemical like taste. even after adding frosting it was awful and left my stomach in knots. I recommend splenda or ez sweetz. Cheers!	Dietary sugar alternatives have recently been questioned as to their actual health benefits, even being accused of being derogatory to one's health.	Review	0.03	1.25
paragraph2sentence.test	Blue Agave sweetener is the best I've ever used. Been using it for over a year now, and has assisted in helping me lose the weight I've needed to. Compared to using regular sugar as a sweetener, I only have to use 3 teaspoons of Blue Agave, whereas, I would have to use a minimum of 5-6 teaspoons of sugar to get the equivalent taste. Blue Agave does not cause an increase in blood sugar like real sugar can.I use this on other foods such as, pancakes, waffles, as an ice cream topping and to sweeten just about anything one would normally use sugar for.You can't go wrong with Blue Agave.	Blue Agave sweetener assists weight loss and you can use less than regular sugar and there are health benefits too because you can use it as a sugar substitute in a lot of food and drink.	Review	0.07	3.75
paragraph2sentence.test	These were perfect for medium-sized canned escarot. I could bake them in these shells, so it makes an impressive treat. Be aware most cans of snails this size (appropriate for these shells) will contain 20 or so snails. One of the shells I received was rather brittle, and I am concerned about serving it, afraid some could come off into the food.	I really liked the Mango one so I tried the blackberry/pomegranate one and liked it less.	Review	0.03	0.0
paragraph2sentence.test	I sampled the marinade at St. Jean winery in CA, bought a bottle ($1 more than at Amazon), and intended to make the chicken salad recipe on the label of the marinade. Eventually I asked my friend Jean, an excellent cook, to make the chicken salad for me. She doubled the recipe, and followed the directions on the bottle exactly. We both thought the result was fabulous. I'll buy it again even though it's on the expensive side. The chicken salad was terrific. It is definitely worthy of serving to company. I love the distictive flavor of this sauce.	I bought a rather expensive marinade from a winery in CA but my friend and I loved the chicken salad that we made from the recipe on the side of the bottle!	Review	0.07	4.06
paragraph2sentence.test	I love salt water taffy and thought I recognized the Sweets brand name. It comes in 3 nice 1-lb boxes and is melt-in-your-mouth soft - no chewing required. The colors are bright and unusual for taffy. But this is not traditional taffy as far as the flavors. They are almost all a little weird, hard to define and kind of awful, in my opinion. I can tolerate the blue, the chocolate and peppermint taste accurate but the others are kind of unnatural, some with weird petroleum/chemical aftertastes. They are all much sweeter than I had expected as well. So I won't be reordering this brand. I like the flavor and price of the Energy Club brand sold on amazon, so I'll probably just go back to that.	Sweets salt water taffy is a soft, brightly coloured taffy with predominantly unusual and unnatural, overly sweet flavourings, therefore less appetizing than the Energy Club brand.	Review	0.06	3.6
paragraph2sentence.test	These organic buckwheat groats are easy to toast and cook. I enjoy them combined with cabbage, carrots and onions. They make wonderful salads, too, and at the price, they are a real bargain.	These bargain-priced organic buckwheat groats are easy to prepare and combine well with vegetables and salads.	Review	0.32	5.0
paragraph2sentence.test	I buy this for my Grandson who is autistic and on a gluten free diet. This is one of the few cereals he will eat and really likes. Autistic children have problems with texture and this cereal seems to be the right texture for him.	If one is autistic and has problems with food texture or on a gluten free diet, this cereal is not only satisfactory, it is also delicious.	Review	0.15	4.69
paragraph2sentence.test	I received the Krupps coffee maker for Mother's day this year, and have used it daily since. It makes an excellent cup of coffee; the very best I've ever had with these single serving machines.The coffees are much better than the 'milk' pods that come with some of them; I won't be buying any more of those.The only complaint I've had with this is that Macy's is the only store I can find this in; otherwise, I have to order the coffee online. (And Macy's has had the coffee on sale, so I'm afraid that may not last much longer.)	Coffee is a caffeinated drink, very popular with the Italian culture.	Review	0.04	0.94
paragraph2sentence.test	This is the best thing I have done for my health. This organic delicious, slightly coconut flavored oil is all I use: to fry, to 'butter,' as an ingredient, for my face and skin. Wondrous! I can even eat peanut butter sandwiches every day--with coconut oil spread on sprouted bread--and not gain weight, put on fat! Yahoo! Just google 'benefits of coconut oil,' then buy a quality brand. Thank you Nutiva!	I get nutty for coconut oil.	Review	0.07	1.88
paragraph2sentence.test	I have tried all of the Gracious Gourmet products and can't find a single one that isn't fantastic! The best part of these spreads is that you can use them so many different ways. I have cooked with them, used them as spreads on crackers and sandwiches and mixed them with sour cream to make a dip. So easy and so delicious!	Gracious Gourmet spreads are easy to use and yummy.	Review	0.11	4.06
paragraph2sentence.test	I rate this sauce as hot as 357 Silver edition and Da Bomb ground zero. It is supposedly hotter than Blairs hottest (non-a.m.) sauce, Ultra Death. I have a bottle of Ultra Death and I love it, but it still is not as hot as this. These Zack Wylde sauces feature the same great quality and taste that you would come to expect with all the Blair Products. I cannot believe how unpopular it is! try it, you won't be disappointed!	Humans have used hot spices and chili peppers for thousands of years to spice up their food.	Review	0.03	1.25
paragraph2sentence.test	It is almost impossible to find this dressing in the stores anymore! It is so good and is delightful on a salad made with lettuce, Romano cheese, almond, and sesame seeds - a recipe that was used at a popular restaurant in my area that is now closed. Try it.	This tasty dressing is made with real ingredients however it is almost impossible to find in stores!	Review	0.22	4.06
paragraph2sentence.test	I was a bit skeptical at first because my kids love peanut butter but are very picky about it. Skippy Natural passed the test easily. They love it! Will continue with the autoship as it will be gone before the next shipment. Good job, Skippy and thanks Amazon for the easy purchase	Peanut butter is a great source of unsaturated fat.	Review	0.1	1.1
paragraph2sentence.test	this product is a COMPLETE waste of money i have put them in several areas of high spider activity have not caught a single spider. i hate when a product promises so much and it is false.sorry i didnt save box i would send back to this company.	Itsy bitsy spiders come crawling up my walls.	Review	0.06	0.63
paragraph2sentence.test	We love the flavor of this Cappuccino! It is creamy and just great tasting. We, at times, mix just a bit of whole milk in with it too, very good!	Adding whole milk to the cappuccino is really good too!	Review	0.15	2.81
paragraph2sentence.test	These panetonnes are out of this world! and we do not have to say more, except to fill in space! This is the reason that I do not want to write reviews.	Panetonnes so good they don't warrant a review.	Review	0.13	4.69
paragraph2sentence.test	These little honey sticks are little bits of heaven. My friends were laughing at me because you get so many but I gave some of the packages out and they're not laughing anymore. They are sooo yummy and such the perfect idea!	Okay - I was expecting that French Market flavor I'm used to in the Red Can and its the white can...	Review	0.04	0.0
paragraph2sentence.test	One of my favorite types of K-cups. Very good in the morning or as an after dinner coffee. There is a subtle chocolate flavor, but this coffee is not bitter like most flavored coffees usually are.	K cup coffee, good in the morning, good in the evening, adds a subtle chocolate flavor which cancels any bitterness.	Review	0.22	5.0
paragraph2sentence.test	This is the tastiest protein drink I've ever had. I'm particularly sensitive to the taste of most of protein drinks and can't handle them as they are so dense to drink. This one is great and doesn't have the after taste of other products. I have tried it both hot and cold and they were both great.	Being sensitive to the density of liquid products, I am usually wary of protein drinks.	Review	0.12	1.88
paragraph2sentence.test	This is a convenient snack to take on the run for the children. It is made out of all fruit juice concentrate and does not have any added sugar (corn syrup, etc). My 14month old and 3 year old both love them. They do leave a sticky face and hands, but that is easy to clean.	This is a convenient healthy fruit snack for kids.	Review	0.16	3.75
paragraph2sentence.test	This coffee will make you smile each time you take your first sip. It is a favorite over all instants and most brewed coffees. It is smooth, rich, and presents no after-taste with just the right amount of caffeine. It provides a lift to get the creative spirit and physical energies flowing. The moment my box of six bottles arrived I felt like a child on Christmas morning.I do not spend money frivolously and this is no exception. The quality of this coffee, along with the low per cup cost, is so outstanding that it puts this purchase in the can't go wrong bargain class. Four of the six bottles will be gifts when visiting friends and relatives this summer, like a fine bottle of wine but providing many more tasteful moments for weeks to come.	Coffee is toxic to some insects such as slugs but it has a different effect on bees. In fact, it is believed bees get a 'buzz' from caffeine in the flowers of plants.	Review	0.03	0.79
paragraph2sentence.test	Just like canned crab, this lobster may be lobster but the taste and texture of canned is nasty. In no way does it resemble the fresh product. Do not waste money for this. Better buy fresh or frozen.	It's even better in a modified Manhattan.	Review	0.06	0.0
paragraph2sentence.test	This tasted old and dry - I found it to taste stale, like old, instant coffee. It was a disappointment because I got this machine for my son to take to college, and had hoped the coffees would taste good.I am still hopeful that other manufacturers will start to make capsules for this machine. But, currently, this is probably the strongest flavor available, and is just not very flavorful.	I am disappointed in this capsule because it's not very flavorful.	Review	0.11	3.44
paragraph2sentence.test	I try to drink several cups of green tea every day, and I like a little variety in flavor. The Jasmine Blossom flavor is subtle and light. I used to be able to find this in stores, but I can't find any local stores that carry it now. This is really good tea, and buying in bulk makes it less expensive than purchasing the individual bags.	I now buy my favorite green Jasmine Blossom tea in bulk because it is no longer sold in most stores, but I save money this way!	Review	0.09	4.06
paragraph2sentence.test	Peanut lovers rejoice! This is one chewy, nutty, delicious treat. It's bigger than those granola/power/protein bars and loaded with peanuts on top of a peanut buttery/yogurty base that's sweet but not too sweet. This yummy snack is a good source of protein - and fat. At 220 calories, it's not for the dieter, but is tasty and satisfying. Highly recommended.	It was a damper.	Review	0.03	0.0
paragraph2sentence.test	I grew up in south India drinking coconut water regularly. The brands that come from Brazil taste more like natural coconut water. Not this one. This more tastes like the tender coconut meat blended into the coconut water.	This particular Brazilian coconut water drink tastes not only like nature but has a tender sensation of the coco pulp.	Review	0.11	2.5
paragraph2sentence.test	This tea is amazing! One of the ingredients (I'm guessing slippery elm) totally coats an irritated throat, and also tastes sweet in the back of your mouth. The first ingredient is licorice, but it doesn't taste like licorice -- the blend of flavors is delicious.	When I have a cold, I drink warm tea.	Review	0.03	1.25
paragraph2sentence.test	I started feeding my over-weight cat Wellness canned and stopped all other foods including any dry. No more vomiting, no more shedding like crazy, no more begging for food all day long and waking me up in the night. She's lost a little bit (not much), but she looks great and I have not stepped in a pile of vomit in months.Love this food!!	Switching my cat's food to Wellness canned helped to reduce her weight, her vomiting, her shedding, and her persistent hunger.	Review	0.09	4.38
paragraph2sentence.test	When I got the cereal, I was excited because I got it for so much cheaper than the grocery store charge. but the cereal tasted a little stale. Not sure if it was just this one box. I'll get another box just to make sure.	These do not make them cough at all.	Review	0.06	0.0
paragraph2sentence.test	I've always loved amaretto, but it was unavailable in my locality.The beauty of it lies in the fact that it needs no refrigeration ( it stores between 35 and 80 degreesF) so you can buy in bulk.It is a little pricey, but worth it to me.	Any perishable food that have been above 40 degrees F for over 2 hours should be discarded.	Review	0.07	1.1
paragraph2sentence.test	What a yummy coffee, strong but not bitter, full flavor but not dense, and you can choose your roasting preference (I chose dark). Cute packaging too, for those of us who care! It's shipped directly, and I got the package within 2 days. Try it, you'll like it!	It's not a horrible smell, it's just something you have to get used to.	Review	0.04	0.0
paragraph2sentence.test	I love this coffee, but what is with these prices? My local walmart sells it for $3.00 and some time on sale for $2.50 and here its like $4.15 each? why is that? and why would any one buy it from here?	Good coffee is overpriced at $4.15, compared to Walmart at $3.00 with a sale price of $2.50.	Review	0.06	4.06
paragraph2sentence.test	This tastes amazing! The only thing is that I wish there was a little more piney and/or peppermint/menthol taste to them. It has a wonderful soft center with very little aftertaste, unlike any other cough drops I have ever tried. They ALL have an aftertaste and dry my mouth out a little.	There is neither a before or after taste with these cough drops.	Review	0.09	3.13
paragraph2sentence.test	I started buying Henry and Lisa's Tuna about a year ago and it was excellent. It was seriously a solid tuna loin in a can that had no fishy smell- you can't beat that. Unfortunately it's gotten progressively less quality with each shipment. At first there was some less quality filler tuna around the edges, and now it seems the cans more frequently only contain the less quality meat. Some of the glowing reviews here are from about a year ago and in my experience the product has changed since then.It is still better than most other brands that I have tried and it's the only tuna I can eat without having to hide the smell and taste with tons of condiments. The extra cost of the tuna is partially offset by what I save in condiments. I'm giving it 4 stars for the BPA -free can, dolphin safe, and that it's still comparatively good tuna.	Tuna is one of the most widely eaten fish in the world, often served as a steak or in a can.	Review	0.02	1.25
paragraph2sentence.test	Your dog would love these smoky bacon flavored treats! Soft but chewy, these treats are a big hit around our house! We highly recommend them for your dog!	Will probably re order later in the year.	Review	0.06	0.94
paragraph2sentence.test	I was first introduced to this truffle salt a few years ago when my sister sent me a jar for a gift. After the jar was used, (I love it sprinkled on my homemade pizza!) I bought a couple other jars of different brands in a local gourmet shoppe, but neither was as good as FungusAmongUs. I purchased a third brand from an online gourmet shop...still not as flavorful. I was so glad to finally find FungusAmongUs on Amazon at a very reasonable price (compared to what I had paid for others). The jar arrived in a few days. I made my pizza and opened the jar...oh, the delight! Lots of Truffle specs and that same delicious flavor I remembered from a few years back. Thank you Amazon and thank you FungusAmongus!	Homemade pizza is a great alternative to ordering pizza because it saves you quite a bit of money!	Review	0.04	0.31
paragraph2sentence.test	This is a very flavorful tea. The pomegranate flavor comes through. It isn't as earthy as plain green tea. It is fruity. I don't feel like I'm missing anything a traditional tea bag has to offer. I've made green tea using whole leaf, tea bags and k-cups. The k-cup makes it all the more enjoyable because it is fast and there is no clean-up. I think the tea tastes fresh with every cup because it isn't like opening a box and having it sit around waiting for me to use the rest of it. I will definitely purchase this tea k-cup again.	I will make this many times and try the raisin and cinnamon additions mentioned on the box.	Review	0.03	0.79
paragraph2sentence.test	Based on reviews, and the fact that I have NOT loved any of the many Timothy coffees I've tried (but I keep trying b/c of the fab prices here!), I was not expecting to like this at all. But I love Bailey's Irish Cream so I ordered a single k-cup of this flavor (from another website). What a lovely surprise! It really does taste like it has a shot of Bailey's in it, and the coffee underneath is quite tasty as well, at least, it doesn't get in the way of the Bailey's taste! I will be ordering the 2 box pack from here!	Cocktails are a combination of one or more alcohols, mixed with a soft drink/and or other ingredients to create a unique, excitingly flavoured drink.	Review	0.02	0.0
paragraph2sentence.test	Pacific Chai coconut Chai Latte is so good. I have a cup every morning with my coconut oil in it. Also getting it through Amazon is much cheaper than at the store. I live about an hour from any grocery store and so it is nice to be able to have it shipped to my door.	Amazon brings my favorite Pacific coconut Chai Latte right to my door at a lower price!	Review	0.14	4.06
paragraph2sentence.test	These treats are well liked by dogs, the right size and don't smell or feel too gross in your hands. Not really sure what else to say about them except that if organic is important to you, then these seem to be one of the few options for dog treats out there. I will buy them again.	Organic dog treats have good texture and feel.	Review	0.09	2.5
paragraph2sentence.test	A bit skeptical, I purchased some flavored salt as a gift and got this one for myself.It turns out the smokiness adds a nice dimension of flavor, especially to soups like split pea or to a recipe for BBQ sauce. Worth a try!	I bought flavoured salt for myself and I think its worth a try!	Review	0.1	3.6
paragraph2sentence.test	I like the convenience and taste of all Suddenly Salad products. However, this Chipotle Ranch is my favorite. It has just the right amount of zing without going overboard. It's creamy and flavorful. It didn't take my family long to go through a pack of 12! I highly recommend it!	Chipotle Ranch Suddenly Salad creamy and zingy salad dressing is a recommended family favourite.	Review	0.11	4.06
paragraph2sentence.test	These cookies are super soft and very yummy. The spices make me think of my grandma and her baking cookies! Yum.	Unfortunately, my local commissary isn't carrying these yet.	Review	0.07	0.47
paragraph2sentence.test	My husband and I both enjoyed the flavor of this tea so much! We often receive oolong tea from our relatives in Taiwan as a present, but we have not been to Taiwan for a while so we ran out. I ordered this tea hoping to fill the gap until our next trip. It is of good quality with nothing but large whole leaves. It has a delicate flavor and lovely aroma. It is as good as the high mountain oolong tea we get in Taiwan. I would recommend this tea to anyone who loves oolong tea or is interested in trying it.	My husband and I ran out of our favorite tea.	Review	0.08	1.72
paragraph2sentence.test	Just had my first cup of this tea today. I use milk and sugar in my tea and while it is a good tea, there is a slight bitter aftertaste. And no, I did not leave it sit on the grounds too long. I wish I could have bought one canister at a time instead of three. Not sure I will be able to go through all that tea. However I do applaud the enlightened owner of the plantation according to the written information which came with the tea. I only would like to enjoy the taste of the tea more.	The coffee started to drip and my kitchen started smelling very nice which gave me high hopes for a very nice cup of coffee.	Review	0.03	0.31
paragraph2sentence.test	I love Eden chocolate soymilk heated for hot chocolate. Doesn't need refrigeration, not too sweet (and no refined sugar), just the right amount of chocolaty, creamy texture. I love the individual packages so that I can have hot chocolate occasionally without having an entire container to use up. Check the label on the cocoa mix you're using and you'll want to make a shift fast! First time it tasted different - though not unpleasantly so - than traditional hot chocolate, but I tried it again and now it's my go to hot chocolate!	Eden chocolate flavoured soymilk comes in individual packets and makes for a healthier, alternative version of a tasty, creamy hot chocolate, without needing refrigeration.	Review	0.06	3.6
paragraph2sentence.test	For the 3 seconds the flavor lasts (the outside strawberry flavored gum mixed with a lime liquid center) it's pretty enjoyable. After that, it's all downhill. Not since chewing Fruit Strips gum as a child, can I remember a gum losing flavor this quickly. You maybe get 5-10 minutes of flavor and after that it's like chewing rubber.The packaging is another annoyance it's a foil blister pack with a cardboard sleeve containing nine pieces of gum. It's a waste of packaging if you consider the whole thing could have been put in a Mentos-like package.I made the mistake of buying a 3 pack. If you must, go with a single pack. It will be enough to turn you off.	Fruit Strips chewing gum quickly loses flavour and the packaging is wasteful.	Review	0.05	2.5
paragraph2sentence.test	i can't get enough of this jelly, i use it on chicken, pork, you name it...i take chicken sandwiches to work a lot and this jelly is soooo good on chicken sandwiches...great product	Beyond its tastiness, this jelly adds a perfect touch to both chicken and pork.	Review	0.11	4.69
paragraph2sentence.test	Excellent chili, healthful ingredients, a wonderful choice for those trying to make wise choices in their diet. Just read the label!!	Food labelling regulations have been severely reviewed in the past 5 years.	Review	0.08	0.31
paragraph2sentence.test	I've never been one to like jams or preserves. I thought I'd try this one though because I do like ginger. This is DELICIOUS!! Not too overpowering from the ginger(like some of the other ginger jam blends out there), and not too tangy or sour from the rhubarb; it's just perfect! I will definitely buy this one again. I love it on toast for breakfast with a cup of coffee or as an afternoon snake with a cup of tea.	Eating breakfast is usually associated with lower body weight and improved academic performance.	Review	0.05	0.94
paragraph2sentence.test	The liquid smells of chemicals and the clams taste the same. I doubt these are safe to eat. Either the clams themselves, or the waters they are packed in, are coming from some polluted source. Since Amazon won't take responsibility to refund on these, I am throwing them into the municipal waste.	I'm mostly vegetarian (I try to avoid as much meat as I can), and I love savory and spicy foods.	Review	0.03	0.0
paragraph2sentence.test	Great taste without the kick of regular java. I miss the buzz, but not the acidity. For anyone who suddenly has to stop drinking coffee either temporarily or long-term, this will work. I use it in my cappuccino machine. Great price, fast shipping.	I miss the buzz of regular java, but not the acidity.	Review	0.18	1.88
paragraph2sentence.test	This energy drink is extremely hard to find.I called Hansen's to find it. It is made in small amounts at a time with great ingredients, natural.It's the only energy drink my husband and I drink. It's pricey but worth it.	Energy drinks contain water, sugar and caffeine, but very high doses of caffeine can cause health problems.	Review	0.08	1.25
paragraph2sentence.test	My fiance' loves fortune cookies so I figured this would be a great creative way to pop the question. Well, she loved the idea when I finally did it last friday (although, somehow she had me figured out from the beginning lol).Anyway, I wasn't particularly thrilled about the quality of these cookies. The seams weren't completely shut. I could see the word Will through the backside of the cookie.Also, a huge warning for someone looking for an authentic cookie to give.... the wrapper is just that, a plain plastic wrapper. I was expecting some Chinese lettering or some kind of design to make it a little more believeable.And last but not least, the price. For the quality you're getting, I'd be more inclined to try the trick (tutorials online) of opening up a cookie and placing the message inside myself. At least then I could put exactly what I wanted. They are way overpriced for what you're getting.Buy only out of desperation.	The fortune cookie came in a plastic wrapper instead of an authentic Chinese wrapper which was disappointing.	Review	0.04	2.81
paragraph2sentence.test	I just received this today in the mail, and tried out my first cup. Much to my surprise, the taste was very good, and I hardly needed any sweetener to actually drink it. This has spearmint and kombucha in it, and I don't know what major effect those had on the tea overall, but I'm fully aware of additional benefits it can provide. I actually like this way better than the Celestial Seasonings green tea. This tastes more authentic and it's organic which is a big thing for me. I'll definitely have to recommend this to anyone I know who drinks green tea. So far, so good with this one. Thanks Amazon for carrying this.	First try of spearmint and kombucha green tea from Amazon which is healthier, tastier, organic, and better than other brands.	Review	0.08	4.06
paragraph2sentence.test	Catnip doesn't affect all cats the same. Mine, a mother and her two daughters, all seem to be immune to the effects. The product smells strong so I am assuming it would work well for other cats. I will give it away and hope some other cats will enjoy it.	My cat, a mother and her two daughters seem to be immune to catnip.	Review	0.25	3.44
paragraph2sentence.test	The chocolate chips give this delectible shortbread cookie a great twist. Highly recommend this cookie but these cookies are somewhat fragile and don't travel all that well in the mail to their final destination so expect some of the cookies to arrive broken but taste great all the same.	I switched to decaf coffee a while back and was looking for a great sampler pack.	Review	0.06	0.0
paragraph2sentence.test	I use a lot of boullion. Until I found these little cubes of goodness, I used Better than Boullion, mostly chicken flavored which is great but I'm not so in love with some of the ingredients even though I use the organic version. The veggie boullion cubes from Gourmet Organic are absolutely delicious and I feel good about using them.	I like using the veggie boullion cubes from Gourmet Organic because they're delicious and I feel better about the ingredients!	Review	0.25	1.88
paragraph2sentence.test	I really like the hazelnut coffee. If you are looking for strong coffee this is not it. There is a bolder version and that might be more suited to you. But this is really good coffee. It is what I drink on a day to day basis. Very good stuff.	My husband could eat his Costco muffin and I had my own muffin.	Review	0.05	0.0
paragraph2sentence.test	This product tasted like chalk and there wasn't the slightest sour taste to it. I called the distributor who received my payment and they said that I would have to take it up with the candy manufacturer.As far as I am concerned the product was terrible and the service lousy to say the least	The sour candy wasn't even sour and it tasted terrible!	Review	0.07	3.44
paragraph2sentence.test	If you like carob and you like baking, this is an excellent product. You can substitute this in any recipe that calls for molasses and it will add a rich carob flavor. It's not quite as sweet as regular molasses so you may have to adjust recipes accordingly (some people recommend substituting 1/4 of the molasses with honey).I had no problems with the shipping, all jars arrived intact and without leaking.	This product can be used to substitute carob in any recipe that needs it. It has rich flavour however is not quite as sweet.	Review	0.09	3.6
paragraph2sentence.test	This cereal is great! Finally, I can get it without driving around hoping that it will be in stock where I've seen it before. That has been tough. Better yet-- it is less expensive on Amazon! AND it ships Prime!Thanks, Amazon!	Amazon Prime has many shipping benefits, including FREE Two-Day Shipping.	Review	0.05	1.41
paragraph2sentence.test	Overall a nice blend, but given the different sizes of the seeds, the sprouting ratio was a bit mixed. Taste was good, might prefer the seeds not in a blend, which is what I will try the next time I buy seeds. Used them with the sprout house and it worked well.	The use of a sprouting hose is most effective when watering seeds yet the sprouting rate will vary according to the size of each seed.	Review	0.11	2.81
paragraph2sentence.test	We love this Southwest Chipotle Seasoning. We use it to make our salsa. I'm glad I was able to get it from here.	We are major Ah-Choo disciples, and have been using it for several months now on our toddlers.	Review	0.06	0.0
paragraph2sentence.test	Every review I'd read of this pasta was glowing, so we thought we'd try it. I've been gluten free for almost two years, and so far, we've tried Trader Joe's, Tinkyada, Schar, Bionaturae, and Le Veneziane pastas. We assumed Jovial would quickly become our favorite. Instead, we found it somewhat disappointing. The flavor is very nice, but the texture was disappointingly similar to the other brown rice pastas we'd tried. We were careful to follow the timing recommendations on the box too. I have several more boxes, so if I make Jovial again with better results, I'll update this review. Meanwhile, our favorite pasta remains Le Veneziane.	Pasta and pizza are two of the main Italian dietary staples.	Review	0.02	1.25
paragraph2sentence.test	These Lara bars are absolutely delicious! A great healthful alternative to a candy bar. The cookie dough flavor tastes much like real cookie dough without the harmful sugars and artificial flavorings. Brownie flavor is excellent as well.	Lara bar was created to make a "very healthy product that tasted delicious."	Review	0.08	2.5
paragraph2sentence.test	Great mints, not too strong with rich dark chocolate. Unfortunately, they are overpriced by 400% here. That's right - they are only $1.39 in the supermarket. Which leads me to believe their other products are also overpriced here. No sale.	The mints are good but I believe a lot of products are overpriced here.	Review	0.14	3.6
paragraph2sentence.test	I received about a teaspoon of kefir grains in the mail a little more than a week ago. They have since multiplied into well over a tablespoon. I've bought several kefir cultures before and none ever grew nearly that quickly. These grains make a good potent kefir too! This can also be used to make a very flavorful, yummy cheese. Be sure to follow the seller's instructions closely, as these little buggers are potent!The flavor of this is much stronger than store-bought kefir. If you aren't used to the taste you can try mixing it with fruit juice.If you end up with too many grains, and can't give them away, you can eat the extras. They're good with honey. (If you're not used to eating kefir grains you should start with a small amount.)If you have any problems, the seller is very nice and extremely helpful. Probably the nicest person I've dealt with on Amazon.	Kefir grains are a culture that once bought, can be multiplied at home.	Review	0.04	2.19
paragraph2sentence.test	For someone who loves Girl Scout's Thin Mint cookies but are frustrated at the fact that you can't buy them just any time, Mint Oreos provides a satisfying replacement for the times you can't have a Thin Mint. When I first tried this, Thin Mints was the first thing to come to my mind, because the taste of chocolate, flour, and mint make for an awesome flavor. If you're a fan of Thin Mints or just mint-flavored stuff in general, give Mint Oreos a try, you won't be disappointed! And the mint filling is great to lick off the cookie! Yum!	Mint Oreos are a satisfying replacement for Girl Scout's Thin Mint cookies, which you cannot buy at any time of the year.	Review	0.12	4.38
paragraph2sentence.test	I have been eating loma linda products since 1970 and i love them all. These are the best hot dogs I've tasted. Amazon has prices lower than the Seventh Day Advenst stores too.	Amazon offers my favorite hot dogs at the lowest prices.	Review	0.11	2.81
paragraph2sentence.test	This is the best store bought salsa I have tasted. I love that it isn't super chunky like most salsa you find in stores. I do find that the price here on Amazon is too high though. If you're a Costco member buy it at your local store.	The other flavors my son refused to eat.	Review	0.03	0.16
paragraph2sentence.test	I use all the dynamic health juice concentrates.Great way to get the benefits without the sugars. We use to flavor foods like yogurt, make our own flavored water, and the popular fat flush program uses the cranberry juice, but some times I'll add another flavor for a slight change sometimes, all the flavored concentrate juices are good and I buy them all.	I buy and use all the flavored dynamic health juice concentrates to flavor foods or even water.	Review	0.19	3.13
paragraph2sentence.test	I have always loved chocolate, very milky chocolate. Then I was diagnosed with a cow dairy allergy and thought I had to give up chocolate all together because I could never eat dark chocolate even with a very low percentage of cocoa, like the sugary dark chocolates. I was bold enough to try the 90% as my first dark chocolate bar and while it was way too bitter at first, it only took three squares before I was hooked. I loved the snap while also letting the square melt in my mouth. I started eating half a bar each day for a few weeks until I slowed myself down and had to switch to this 85% but it is still great. I also use it in baking cookies and it works really well. I usually order from whatever seller amazon lists on the product page, but wanted to comment on the direct shipment from amazon. I ordered these bars during 90 degree weather in southern CA and was worried they would arrive melted (couldn't resist, I needed my chocolate fix), but amazon shipped them with two ice packs surrounded by styrofoam at no additional charge. The packs were obviously melted by the time they arrived, but the chocolate was perfectly fine. Thank you amazon :).	If you find yourself hard up for a chocolate fix and have to ship chocolate in the heat, remember to use ice packs when posting.	Review	0.03	2.04
paragraph2sentence.test	I've started buying Go Raw products. I'm not vegan but I don't eat most commercially processed foods because they're no longer natural. However Go Raw produces what I consider properly processed foods and for that I'm very grateful. I'm not fond of the two types of chips I've bought but I love, and will continue buying, their seeds. I use the Go Raw products for traveling since I won't eat in restaurants or eat what most grocery stores carry.	I eat GoRaw products while traveling.	Review	0.07	2.35
paragraph2sentence.test	I bought duck rillettes from Amazon because my usual favorite duck rillette was not carried anymore by chefshop.com. I was expecting a really good rillette. Full flavored rillette. What I got was a rellette that lacked even flavor of duck and herbs/spices. The texture was good however. Tasted more like a pork rillette. I would not recommend Rouge Perigord Duck Rillettes.	The ugly duckling is a fable in which the moral teaches the reader not to judge others on their appearance.	Review	0.03	0.0
paragraph2sentence.test	These groats have worked out very well for sprouting and I have been able to make wonderful buckwheat waffles from the flour created from the ground, sprouted groats. The lid seals well, so there should not be any problems regarding freshness. The quality of the groats is very good- I have not found any off groats. Whenever the time comes that I actually get through all five pounds, I would definitely purchase this product again!	When I first opened the bag, I was thrown off by the strong aroma, somewhat reminiscent of sage.	Review	0.02	0.31
paragraph2sentence.test	Inland, just off the main road, is the attractive little village of Porches, with some classic, white Algarvian houses and filigreed chimneys. Porches is famous throughout Port-ugal for its hand-painted pottery, though you won’t find much in the village itself. The shops of greatest renown are along the EN 125 route.	Medieval Moat: A 12th-century fortress’ foundations and drawbridge support uncovered while excavating new entrance halls.	Travel	0.03	0.0
paragraph2sentence.test	Roller skating has become a way of life in Berlin; so much so that from spring to August, every second Wednesday in the month has been designated “Blade Night.” The streets of Mitte are closed to cars and open freely to in-line skaters. In the winter, the fun moves indoors — “Blade Night” is held in the Arena concert hall in Treptow.	Skateboarding is an extreme sport which has been popular over many years, more recently becoming a fashion statement amongst certain groups.	Travel	0.06	1.1
