Dataset	Domain	Sent1	Sent2	Sent1_original	Sent2_original
STS2017	track3.es-es	He was near a bridge.	The old man was near the fire.	Él estaba cerca de un puente.	El anciano estaba cerca del fuego.
STS2017	track3.es-es	Elderly people helping each other	The man is reviewing his actions before making a comment to the other people.	Personas ancianas ayudándonse los unos a los otros	El hombre está revisando sus acciones antes de hacer un comentario a las otras personas.
STS2017	track3.es-es	A man is running in a hurry in the street.	The man is driving a bicycle on the street.	Un hombre está corriendo de prisa en la calle.	El hombre está manejando una bicicleta en la calle.
STS2017	track3.es-es	The men are on strike.	The two men are putting out the fire.	Los hombres están en huelga.	Los dos hombres están apagando el fuego.
STS2017	track3.es-es	Two men observe a chemical reaction.	A group of men are outside with guns.	Dos hombres observan una reacción química.	Un grupo de hombres está afuera con armas.
STS2017	track3.es-es	A crowd is looking at a man on stage.	A man sings alone on stage for a crowd.	Una multitud está mirando a un hombre en el escenario.	Un hombre canta solo en el escenario para una multitud.
STS2017	track3.es-es	A group is acting for some children	A group of children look at a group of adults.	Un grupo está actuando para unos niños	Un grupo de niños miran a un grupo de adultos.
STS2017	track3.es-es	Lady in a dark top, missing with impressions, red stockings and walking shoes	Woman walking on the street in high heels, black leggings, black coat and red wallet	Dama en un top oscuro, falta con impresioes, medias rojas y zapatos caminando	Mujer caminando en la calle con tacones altos, leggins negros, abrigo negro y cartera roja
STS2017	track3.es-es	A woman is using a fishing net in the river.	A fish is jumping out of the water to catch a fly.	Una mujer está usando una red para pescar en el río.	Un pez está saltando fuera del agua para atrapar una mosca.
STS2017	track3.es-es	There may be a woman under an image of Jesus.	There is a person in the picture.	Puede haber una mujer bajo una imagen de Jesús.	Hay una persona en la fotografía.
STS2017	track3.es-es	The older lady is wearing sunglasses to protect her eyes from the bright sun.	This man wears sunglasses to keep the sun out of his eyes	La señora mayor está usando lentes de sol para proteger sus ojos del sol brillante.	Este hombre usa lentes de sol para mantener el sol fuera alejado de sus ojos
STS2017	track3.es-es	A woman about to eat fish.	A woman about to eat trout.	Una mujer a punto de comer pescado.	Una mujer a punto de comer trucha.
STS2017	track3.es-es	A team of young athletes plans their great victory	Your team is winning.	Un equipo de atletas jóvenes planea su gran victoria	Su equipo está ganando.
STS2017	track3.es-es	One cable is larger than the other.	One cable is larger than the other.	Un cable es más grande que el otro.	Un cable es más grande que el otro.
STS2017	track3.es-es	A child has a smartphone and nothing else.	A man can have a smartphone.	Un niño tiene un teléfono inteligente y nada más.	Un hombre puede tener un teléfono inteligente.
STS2017	track3.es-es	People are outdoors on a mountain.	People are standing around for two ATVs on a beach.	La gente está al aire libre en una montaña.	La gente está de pie alrededor de dos cuatrimotos en una playa.
STS2017	track3.es-es	Four women are in the pool.	The four women are in a pool	Cuatro mujeres están en la piscina.	Las cuatro mujeres están en una piscina
STS2017	track3.es-es	A girl is trying to hide from her parents	A young girl trying to hide from her mom.	Una niña está intentando esconderse de sus padres	Una muchacha joven tratando de esconderse de su mamá.
STS2017	track3.es-es	Two men are in their cars in heavy traffic	The two people are driving trucks.	Dos hombres están en sus autos en tráfico pesado	Las dos personas están conduciendo camiones.
STS2017	track3.es-es	Two men located in a control cabin.	Two men from the same military branch are seated on a bus.	Dos hombres ubicados en una cabina de control.	Dos hombres de la misma rama militar están sentados en un bus.
STS2017	track3.es-es	The big black dog is behind the small black dog.	The black and white dog is chasing a cat.	El perro negro grande está detrás del perro negro pequeño.	El perro negro y blanco está persiguiendo un gato.
STS2017	track3.es-es	The dog is driving a car.	The man is driving a blue car.	El perro está conduciendo un auto.	El hombre está conduciendo un auto azul.
STS2017	track3.es-es	This little girl is excited about the wedding	The little girl is looking for something weird.	Esta pequeña niña está emocionada por la boda	La pequeña niña está buscando algo raro.
STS2017	track3.es-es	The man wears a green pole	The man wears a green polo shirt.	El hombre viste un polo verde	El hombre viste una camisa de polo verde.
STS2017	track3.es-es	There is no color in the image.	There is a sign in this image.	No hay color en la imagen.	Hay un letrero en esta imagen.
STS2017	track3.es-es	A tourist is using binoculars to see the ocean.	The dog is about to jump into the water.	Un turista está usando los binoculares para ver el océano.	El perro está a punto de saltar al agua.
STS2017	track3.es-es	A young boy with a coat on his head is holding his goat.	A young boy becoming a fool wore his coat on his head and holds a goat.	Un muchacho joven con un abrigo en su cabeza está sosteniendo su cabra.	Un muchacho joven haciéndose el tonto usa su abrigo en su cabeza y sostiene una cabra.
STS2017	track3.es-es	A woman works in a cheese factory.	A man is in the kitchen cooking bread.	Una mujer trabaja en una fábrica de quesos.	Un hombre está en la cocina cocinando pan.
STS2017	track3.es-es	The man and the women are jogging.	There are men and women walking.	El hombre y las mujeres están trotando.	Hay hombres y mujeres caminando.
STS2017	track3.es-es	A man inside reading the newspaper.	A man reading the newspaper outside.	Un hombre en el interior leyendo el periódico.	Un hombre leyendo el periódico afuera.
STS2017	track3.es-es	Two men gather for lunch to discuss business.	Three men discuss business during lunch.	Dos hombres se reúnen para almorzar para hablar de negocios.	Tres hombres discuten negocios durante el almuerzo.
STS2017	track3.es-es	A young woman looks away because she is shy.	A young boy is about to paint his face.	Una joven mira hacia otro lado porque es tímida.	Un muchacho joven está a punto de pintar su cara.
STS2017	track3.es-es	A group of five runners crouched in front of a large crowd.	Two men in front of a crowd.	Un grupo de cinco corredores se agachó frente a una gran multitud.	Dos hombres frente a una multitud.
STS2017	track3.es-es	The dog is wearing a collar.	The dog is wearing a red collar.	El perro está usando un collarín.	El perro está usando un collarín rojo.
STS2017	track3.es-es	A couple is enjoying a connoved sitting on a sofa.	A couple is enjoying a moving session on a couch watching a movie.	Una pareja está disfrutando una connovedora sesión en un sofá.	Una pareja está disfrutando una conmovedora sesión en un sofá viendo una película.
STS2017	track3.es-es	Four people are jumping in the air.	People are jumping in the air.	Cuatro personas están saltando en el aire.	La gente está saltando en el aire.
STS2017	track3.es-es	An animal plays with a hoop.	An African man is not doing a trick with a stick.	Un animal juega con un aro.	Un hombre africano no está haciendo un truco con un palo.
STS2017	track3.es-es	The men drove	Two men sitting near their bikes	Los hombres condujeron	Dos hombres sentados cerca de sus bicicletas
STS2017	track3.es-es	Two firefighters work in the fire truck.	Three workers are leaving their building in flames during a fire.	Dos bomberos trabajan en el camión de bomberos.	Tres trabajadores están saliendo de su edificio en llamas durante un incendio.
STS2017	track3.es-es	The volleyball match is ongoing between the ladies	Women participating in the finals of the tennis competition	El partido de voleibol está en curso entre las damas	Mujeres participando en las finales de la competencia de tenis
STS2017	track3.es-es	A woman with gray hair and a white dress standing in front of a wall.	A man standing in front of a blue wall with a brown shirt and white pants.	Una mujer con el pelo gris y un vestido blanco de pie delante de una pared.	Un hombre de pie delante de una pared azul con una camisa marrón y pantalones blancos.
STS2017	track3.es-es	In China, workers in the field do their homework while the sun goes down.	Workers in China do homework while the sun goes down.	En China, los trabajadores en el campo realizan sus tareas mientras se pone el sol.	Trabajadores en China realizan tareas mientras el sol se pone.
STS2017	track3.es-es	A boy finishing his ice cream cone grimaces at the camera.	A woman with glasses is reading a side of a metal bowl	Un niño que termina su cono de helado hace una mueca para la cámara.	Una mujer con gafas está leyendo un lado de un tazón de metal
STS2017	track3.es-es	A crowd is at an event.	A race is taking place in a stadium.	Una multitud está en un evento.	Una carrera se está realizando en un estadio.
STS2017	track3.es-es	Construction workers are using specific floor plans.	Construction workers are using tools to work in the tunnel.	Los trabajadores de la construcción están utilizando planos de planta específicos.	Los trabajadores de la construcción están utilizando herramientas para trabajar en el túnel.
STS2017	track3.es-es	A young girl holding two walking sticks is standing on a rock in a creek.	A man and a woman are climbing on a mountain.	Una joven muchacha que sostiene dos bastones para escalar está de pie sobre una roca en un arrollo.	Un hombre y una mujer están escalando en una montaña.
STS2017	track3.es-es	People are walking through a station.	There are people walking on a busy street.	La gente está caminando a través de una estación.	Hay gente caminando en una calle muy concurrida.
STS2017	track3.es-es	A man is on the stage.	This man is on stage	Un hombre está en el escenario.	Este hombre está en un escenario
STS2017	track3.es-es	The woman is taking care of the child.	A boy is running towards his mother.	La mujer está cuidando al niño.	Un niño está corriendo hacia su madre.
STS2017	track3.es-es	There is a person standing next to the building wearing a suit.	A man in a black suit sitting on the steps of a building.	Hay una persona de pie junto al edificio vistiendo un traje.	Un hombre en un traje negro sentado en los escalones de un edificio.
STS2017	track3.es-es	A man walks in the city.	A woman walks in the city.	Un hombre camina en la ciudad.	Una mujer camina en la ciudad.
STS2017	track3.es-es	A group of women in a library with children.	A group of school children are enjoying story time.	Un grupo de mujeres en una biblioteca con niños.	Un grupo de niños de la escuela está disfrutando del tiempo de cuentos.
STS2017	track3.es-es	A hockey player throws the disc.	A hockey player is playing with a disc.	Un jugador de hockey tira el disco.	Un jugador de hockey está jugando con un disco.
STS2017	track3.es-es	Couple doing a dance.	Young girls perform at a dance recital.	Pareja realizando un baile.	Jovencitas se presentan en un recital de baile.
STS2017	track3.es-es	A hiker on a trail looking at animal life in a wooded area with a black kangaroo.	Man jogging on a path, through a large forest.	Un excursionista en un sendero mirando la vida animal en una zona boscosa con un canguro negro.	Hombre trotando en un sendero, a través de un gran bosque.
STS2017	track3.es-es	The band plays for a group of people.	The band is performing for a group of people.	La banda toca para un grupo de personas.	La banda se está presentando para un grupo de personas.
STS2017	track3.es-es	A boy is on a school trip in a pumpkin patch.	A little girl is drawing on a table near a baby.	Un niño está en un viaje escolar en un huerto de calabazas.	Una pequeña niña está dibujando en una mesa cerca de un bebé.
STS2017	track3.es-es	People are in a football game.	Some people are in a football game.	La gente está en un partido de fútbol.	Algunas personas están en un partido de fútbol.
STS2017	track3.es-es	Some children are reading silently.	The children are reading silently.	Algunos niños están leyendo silenciosamente.	Los niños están leyendo silencionamente.
STS2017	track3.es-es	A bird flies over the lake.	A person is walking towards the ocean.	Un pájaro vuela sobre el lago.	Una persona está caminando hacia el océano.
STS2017	track3.es-es	The dogs ran in the opposite direction.	The man and the horse are running away from the police.	Los perros corrieron en sentido opuesto.	El hombre y el caballo están huyendo de la policía.
STS2017	track3.es-es	A man rides his bicycle on the street.	A man rides his bicycle on the street.	Un hombre monta su biclicleta por la calle.	Un hombre monta su bicicleta por la calle.
STS2017	track3.es-es	The couple is eating.	The family is eating out.	La pareja está comiendo.	La familia está comiendo fuera.
STS2017	track3.es-es	The train car is almost empty.	A car is turning in front of the bus carrying passengers.	El vagón del tren está casi vacío.	Un auto está girando delante del bus que transporta pasajeros.
STS2017	track3.es-es	The dog is taking a bath.	A dog is taking a bath.	El perro está tomando un baño.	Un perro está tomando un baño.
STS2017	track3.es-es	A woman in a pink shirt is standing behind a table with many salad dressings and paper plates.	A woman sits by a table covered with dishes and saucers.	Una mujer en una camisa rosada está de pie detrás de una mesa con muchos aderezos para ensaladas y platos de papel.	Una mujer se sienta junto a una mesa cubierta de platos y platillos.
STS2017	track3.es-es	A person is without a hat and is inside.	A woman is holding a tin can.	Una persona está sin sombrero y está dentro.	Una mujer está sosteniendo una lata.
STS2017	track3.es-es	The children laugh as they glide in the snow.	The white cat is difficult to see in the snow as it runs playfully.	Los niños se ríen mientras se deslizan en la nieve.	El gato blanco es difícil de ver en la nieve mientras corre juguetonamente.
STS2017	track3.es-es	Two men fix a bicycle in a garage.	Two men fix a car in a garage.	Dos hombres arreglan una bicicleta en un garaje.	Dos hombres arreglan un auto en un garaje.
STS2017	track3.es-es	A horse and a car pass through the water.	A man is cycling in the water.	Un caballo y un auto atraviesan el agua.	Un hombre va en bicicleta al agua.
STS2017	track3.es-es	The boy is telling the man what to do.	The lady is not talking to anyone.	El niño le está diciendo al hombre qué hacer.	La dama no está hablando con nadie.
STS2017	track3.es-es	A person is sleeping at home.	A person is sleeping at home.	Una persona está durmiendo en casa.	Una persona está durmiendo en casa.
STS2017	track3.es-es	The woman is carrying a child and posing for a photo.	A man is taking a picture of a couple and their son.	La mujer está cargando a un niño y posando para una foto.	Un hombre está tomando una foto de una pareja y su hijo.
STS2017	track3.es-es	An Asian boy and a man are standing outside Starbucks.	An Asian boy and an Asian girl are smiling in a crowd of people.	Un muchacho asiático y un hombre están de pie fuera de Starbucks.	Un niño asiático y una niña asiática están sonriendo en una multitud de personas.
STS2017	track3.es-es	A crowd gathers for an important speech.	A hearing is meeting for a performance	Una multitud se reúne para un discurso importante.	Una audiencia está reunida para una actuación
STS2017	track3.es-es	Children spinning on a glass rotating wheel	Two cats standing in a puddle, and one has a yellow tennis ball.	Niños que giran en una rueda giratoria de cristal	Dos gatos parados en un charco, y uno tiene una pelota de tenis amarilla.
STS2017	track3.es-es	A man sends a food order	A businessman is waiting to order food.	Un hombre envía un pedido de comida	Un hombre de negocios está esperando para pedir comida.
STS2017	track3.es-es	The band is under the spotlights.	The band is not in the photo.	La banda se encuentra bajo los reflectores.	La banda no está en la foto.
STS2017	track3.es-es	The woman and the man are working on a farm.	A man and a woman are working in a garden.	La mujer y el hombre están trabajando en una granja.	Un hombre y una mujer están trabajando en un jardín.
STS2017	track3.es-es	The man moves a table.	A man keeps a table.	El hombre mueve una mesa.	Un hombre guarda una mesa.
STS2017	track3.es-es	A child makes a prayer before a lit candle.	An old woman is blowing candles on her three-tiered birthday cake.	Un niño hace una oración ante una vela encendida.	Una anciana está soplando las velas en su torta de cumpleaños de tres niveles.
STS2017	track3.es-es	Two cute and well dressed asian kids are standing next to a tree.	Two little girls are happy.	Dos niños asiáticos lindos y bien vestidos están de pie al lado de un árbol.	Dos niñas pequeñas están felices.
STS2017	track3.es-es	A boy and a dog on a pier are watching another dog swim in the distance.	A big boy and a dog standing on a dock watching another dog swim in the water.	Un niño y un perro en un muelle están viendo otro perro nadar a la lejanía.	Un niño y un perro grande parados en un muelle que mira otro perro nadar en el agua.
STS2017	track3.es-es	A driver wears blue	A woman is wearing a blue shirt and is riding a bicycle.	Un conductor viste de azul	Una mujer está vistiendo una camisa azul y está montando una bicicleta.
STS2017	track3.es-es	The little boy was in the park.	A child was leaving the park.	El pequeño niño estaba en el parque.	Un niño estaba saliendo del parque.
STS2017	track3.es-es	Two children are on the beach.	Two girls are on the beach.	Dos niños están en la playa.	Dos niñas están en la playa.
STS2017	track3.es-es	Two girls visiting New York.	The two girls who work in the restaurant are new.	Dos muchachas visitando Nueva York.	Las dos muchachas que trabajan en el restaurante son nuevas.
STS2017	track3.es-es	Two women sitting on a bench eating.	Five women sitting on a bench.	Dos mujeres sentadas en un banco comiendo.	Cinco mujeres sentadas en un banco.
STS2017	track3.es-es	Outside a door a couple of people standing	Two people standing outside a door.	Fuera de una puerta un par de personas de pie	Dos personas de pie fuera de una puerta.
STS2017	track3.es-es	Three men get something out of a drum.	Two children play on a large swing tire.	Tres hombres sacan algo de un tambor.	Dos niños juegan en una llanta columpio grande.
STS2017	track3.es-es	A bartender is preparing drinks for his customers.	The waitress is giving her customers free drinks.	Un bartender está preparando bebidas para sus clientes.	La camarera le está dando a sus clientes bebidas gratis.
STS2017	track3.es-es	Multiple people do a dance synchronized with jumps.	They are at a track event.	Múltiples personas hacen una danza sincronizada con saltos.	Ellos están en un evento de pista.
STS2017	track3.es-es	The students are talking in a debate about gun control.	Several people are queuing at a counter.	Los estudiantes están hablando en un debate sobre el control de armas.	Varias personas están haciendo cola en un mostrador.
STS2017	track3.es-es	A man with a beard is painting.	A man with a beard painting.	Un hombre con una barba está pintando.	Un hombre con una barba pintando.
STS2017	track3.es-es	The man wears a green suit	The man wears a blue suit.	El hombre usa un traje verde	El hombre usa un traje azul.
STS2017	track3.es-es	These people are walking through a field of weeds.	These two children and the dog are running through a grass field.	Estas personas están caminando por un campo de malezas.	Estos dos niños y el perro están corriendo a través de un campo de hierba.
STS2017	track3.es-es	A boy squats in front of an empty net with an inflatable castle behind him.	A boy is squatting in front of an empty net while others are standing around an inflatable castle behind him.	Un muchacho se pone en cuclillas delante de una red vacía con un castillo inflable detrás de él.	Un niño está en cuclillas frente a una red vacía, mientras que otros están de pie alrededor de un castillo inflable detrás de él.
STS2017	track3.es-es	Two women are smiling together.	There are two women dancing.	Dos mujeres están sonriendo juntas.	Hay dos mujeres bailando.
STS2017	track3.es-es	Two children are in a sandbox.	The children are in a sandbox.	Dos niños están en una caja de arena.	Los niños están en una caja de arena.
STS2017	track3.es-es	A boy is riding skateboard.	There's a boy riding a skateboard outside.	Un muchacho está montando patineta.	Hay un muchacho montanto patineta afuera.
STS2017	track3.es-es	An old woman is sewing a new sweater in her living room.	A girl is a pinstripe suit is standing in her mother's kitchen, wishing she were home.	Una anciana está cosiendo un suéter nuevo en su sala.	Una muchacha es un traje a rayas está de pie en la cocina de su madre, deseando que estuviera en casa.
STS2017	track3.es-es	All children hang out in the games room	Some people hang out at the bowling alley.	Todos los niños pasar el rato en la sala de juegos	Algunas personas pasan el rato en el boliche.
STS2017	track3.es-es	A group of girls are playing in a dumpster.	A group of children are playing in the water.	Un grupo de niñas están jugando en un basurero.	Un grupo de niños están jugando en el agua.
STS2017	track3.es-es	There are two people, one of them a husband and one his wife, leaving the store.	There are two people, a man and a woman, sitting on a bus	Hay dos personas, una de ellas un marido y una su esposa, saliendo de la tienda.	Hay dos personas, un hombre y una mujer, sentadas en un bus
STS2017	track3.es-es	Groupe Air France prepares a train for a trip	They take a ride on the hot air balloon over the atlantic	Groupe Air France prepara un tren para un viaje	Ellos toman un paseo en el globo de aire caliente sobre el atlántico
STS2017	track3.es-es	Some volunteers help clean up next to a meter.	Workers volunteer to clean the subway.	Algunos voluntarios ayudan a limpiar al lado de un metro.	Los trabajadores se ofrecen voluntariamente para limpiar el metro.
STS2017	track3.es-es	A woman milking a cow.	A woman pushes a cart.	Una mujer ordeñando una vaca.	Una mujer empuja un carrito.
STS2017	track3.es-es	A little boy is holding hands with someone.	The little girl is holding hands with someone.	Un niño pequeño está tomandose de las manos con alguien.	La niña pequeña está tomandose de las manos con alguien.
STS2017	track3.es-es	The girl is walking to school in the rain.	The girl is playing outside in the snow.	La niña está caminando a la escuela en la lluvia.	La niña está jugando afuera en la nieve.
STS2017	track3.es-es	People hike through an icy and mountainous landscape.	People are hiking on a beach.	La gente de excursión a través de un paisaje helado y montañoso.	La gente está de excursión en una playa.
STS2017	track3.es-es	Tall people sleeping	Tall people walking	Gente alta durmiendo	Gente alta caminando
STS2017	track3.es-es	A woman is sitting while talking to a shirtless man she has just met	A woman is sitting while talking to a shirtless man.	Una mujer está sentada mientras habla con un hombre sin camisa que acaba de conocer	Una mujer está sentada mientras habla con un hombre sin camisa.
STS2017	track3.es-es	A hockey bout explodes.	A fight in a hockey game explodes	Una pelea de hockey estalla.	Una pelea en un juego de hockey estalla
STS2017	track3.es-es	There is a black and white dog running on a doormat with a man in a blue shirt looking.	A dog stands next to a man in shorts and a blue and white shirt.	Hay un perro blanco y negro corriendo en un felpudo con un hombre en una camisa azul que mira.	Un perro está parado junto a un hombre en shorts y una camisa azul y blanca.
STS2017	track3.es-es	Men preparing to take a bath in the ocean.	A snowy dog up to his belly tries to move.	Hombres que se preparan para tomar un baño en el océano.	Un perro cubierto de nieve hasta su vientre intenta moverse.
STS2017	track3.es-es	A woman drags an Irish Lobero	The soldier is a girl	Un mujer arrastra un Lobero irlandés	El soldado es una muchacha
STS2017	track3.es-es	People are in a boat.	There are people in a boat.	La gente está en un bote.	Hay gente en un bote.
STS2017	track3.es-es	A little girl is playing outside.	A little girl is playing outside.	Una pequeña niña está jugando fuera.	Una pequeña niña está jugando fuera.
STS2017	track3.es-es	A little boy removes all his clothes.	A woman in a tight blue shirt stands as if she's just released something from her hand.	Un niño pequeño se quita toda su ropa.	Una mujer con una camisa azul apretada está de pie como si acabara de soltar algo de su mano.
STS2017	track3.es-es	Two boys playing guitar with a woman singing and playing a tambourine standing next to them.	Two boys playing guitar with a woman standing next to them.	Dos muchachos que tocan la guitarra con una mujer que canta y que toca una pandereta de pie al lado de ellos.	Dos muchachos que tocan la guitarra con una mujer de pie al lado de ellos.
STS2017	track3.es-es	The snowboarder does a trick.	The snowboarder did a trick.	El snowboarder realiza un truco.	El snowboarder realizó un truco.
STS2017	track3.es-es	A group of people is sitting in a bar.	A group of people is standing in a bar.	Un grupo de personas está sentado en un bar.	Un grupo de personas está de pie en un bar.
STS2017	track3.es-es	A group of several people sitting on the floor inside a building	A group of people is sitting on a ledge in front of a building.	Un grupo de varias personas sentadas en el piso dentro de un edificio	Un grupo de personas está sentado en una cornisa delante de un edificio.
STS2017	track3.es-es	A woman blindfolded is on her knees.	Tired, the woman rests her head in her backpack while lying down.	Una mujer con los ojos vendados está de rodillas.	Cansada, la mujer descansa su cabeza en su mochila mientras está acostada.
STS2017	track3.es-es	A man in a t-shirt plays basketball.	A man is in the sports shirt attends a game.	Un hombre en una camiseta juega baloncesto.	Un hombre está en la camiseta deportiva asiste a un juego.
STS2017	track3.es-es	Older gentlemen in a green jacket and blue jeans sitting at a small table.	A man wearing a blue shirt and blue jeans teaching in a wooden school.	Señores mayores en una chaqueta verde y jeans azules sentados en una pequeña mesa.	Un hombre vistiendo una camisa azul y jeans azules enseñando en una escuela de madera.
STS2017	track3.es-es	A man pushing rocks.	A woman is pushing rocks lazily.	Un hombre empujando rocas.	Un mujer está empujando rocas perezosamente.
STS2017	track3.es-es	The boy is wearing a blue jacket and a pink t-shirt while playing outside.	A man in an orange shirt and blue jeans is playing with a hula hula	El niño está usando una chaqueta azul y una camiseta rosada mientras juega afuera.	Un hombre en una camisa naranja y jeans azules está jugando con un hula hula
STS2017	track3.es-es	A child with a balloon.	The beagle of a woman having a drink while walking	Un niño con un globo.	El beagle de una mujer tomando un bebida mientras camina
STS2017	track3.es-es	A young man in an orange shirt plays the tuba.	A man in a shirt plays the drums.	Un hombre joven en una camisa naranja toca la tuba.	Un hombre con una camisa toca los tambores.
STS2017	track3.es-es	A painter is painting a mural next to a house.	A painter is painting a vivid image of a park on the side of a street	Un pintor está pintando un mural al lado de una casa.	Un pintor está pintando una imagen vívida de un parque en el lado de una calle
STS2017	track3.es-es	Six large white trucks are moving.	Big orange trucks are traveling down a four lane street.	Seis camiones blancos grandes se están moviendo.	Camiones naranjas grandes están viajando por una calle de cuatro carriles.
STS2017	track3.es-es	The man in yellow pants is raising his arms.	The man in the yellow shirt has a mop in his hands.	El hombre con pantalones amarillos está levantando sus brazos.	El hombre de la camisa amarilla tiene un trapeador en las manos.
STS2017	track3.es-es	A small child fell to the ground.	A little girl falling in the snow while another observes.	Un pequeño niño cayó al suelo.	Una pequeña niña cayendo en la nieve mientras que otra observa.
STS2017	track3.es-es	A talent contestant jumps and sings.	An audience is watching a couple dance.	Una persona del concurso de talentos que salta y canta.	Una audiencia está mirando a una pareja bailar.
STS2017	track3.es-es	There is a brown dog jumping on the beach.	A black and brown dog is running on the beach.	Hay un perro marrón saltando en la playa.	Un perro negro y marrón está corriendo en la playa.
STS2017	track3.es-es	A man walks in front of a building	A man walks in front of a building.	Un hombre camina delante de un edificio	Un hombre camina delante de un edificio.
STS2017	track3.es-es	A man is sleeping outside.	A woman is sleeping outside.	Un hombre está durmiendo afuera.	Una mujer está durmiendo afuera.
STS2017	track3.es-es	Three people wear modern clothes.	Two people wear work uniforms.	Tres personas visten ropa moderna.	Dos personas visten uniformes de trabajo.
STS2017	track3.es-es	There is a man with books.	There is a man writing.	Hay un hombre con libros.	Hay un hombre escribiendo.
STS2017	track3.es-es	Colorful yellow seats with a sparse crowd lined up behind four soccer players trying to chase a ball.	Two people with glasses are playing a game sitting on the floor.	Asientos amarillos coloridos con una muchedumbre escasa alineada detrás de cuatro jugadores de fútbol que intentan perseguir una pelota.	Dos personas con anteojos están jugando un juego sentadas en el suelo.
STS2017	track3.es-es	A crowd watching a man outside	A crowd is watching a man	Una multitud viendo a un hombre afuera	Una multitud está viendo a un hombre
STS2017	track3.es-es	A woman standing next to a microwave.	A woman on the phone is sitting on a chair.	Una mujer de pie junto a un microondas.	Una mujer al teléfono está sentada en una silla.
STS2017	track3.es-es	A person in red is jumping on a trampoline.	The man is jumping on a trampoline.	Una persona de rojo está saltando en un trampolín.	El hombre está saltando en un trampolín.
STS2017	track3.es-es	Four children are crying	Three children are crying	Cuatro niños están llorando	Tres niños están llorando
STS2017	track3.es-es	A girl is near a child whose face is not shown.	A boy is very close to a girl.	Una niña está cerca de un niño cuyo rostro no se muestra.	Un niño está muy cerca de una niña.
STS2017	track3.es-es	The train is small	The boat is small.	El tren es pequeño	El bote es pequeño.
STS2017	track3.es-es	A man in a swimming pool holds a smiling child in a float.	A man is carrying a girl in a swimming pool.	Un hombre en una piscina sostiene a un niño sonriente en un flotador.	Un hombre está cargando a una niña en una piscina.
STS2017	track3.es-es	An old beige man standing near a younger man in blue in front of a building.	A man in a white shirt walking in front of an old building.	Un hombre mayor de beige de pie cerca de un hombre más joven de azul delante de un edificio.	Un hombre en una camisa blanca caminando delante de un edificio antiguo.
STS2017	track3.es-es	Two women are acting.	The two women are acting.	Dos mujeres están actuando.	Las dos mujeres están actuando.
STS2017	track3.es-es	A person in bright shorts tries to catch a frisbee	The woman with the camera is throwing a Frisbee for her brown dog to catch.	Una persona en shorts brillantes trata de atrapar un frisbee	La mujer con la cámara está lanzando un Frisbee para que su perro marrón lo atrape.
STS2017	track3.es-es	The blond boy sat next to the guitar and the book.	The girl was playing with Lincoln Logs.	El niño rubio se sentó junto a la guitarra y el libro.	La chica estaba jugando con Lincoln Logs.
STS2017	track3.es-es	Two construction workers stop at the mall for lunch	Construction workers are detained for lunch.	Dos trabajadores de construcción se detienen en el centro comercial para el almuerzo	Los trabajadores de construcción son detenidos para el almuerzo.
STS2017	track3.es-es	A couple paints on the floor	A woman paints on the floor	Una pareja pinta en el suelo	Una mujer pinta en el suelo
STS2017	track3.es-es	Rhythmic gymnast does a routine.	A girl performs a rhythmic gymnastics routine.	Gimnasta rítmica hace una rutina.	Una niña realiza una rutina de gimnasia rítmica.
STS2017	track3.es-es	A worker wearing a mask and carrying a broom, standing guard	A man in a blue shirt carries a bag over his right shoulder.	Un trabajador que usa una máscara y que lleva una escoba, de pie vigilando	Un hombre en una camisa azul lleva una bolsa sobre su hombro derecho.
STS2017	track3.es-es	Two men, dress layers and canvas bags.	Two children in blue jeans and cinnamon shirts are standing out from the tents.	Dos hombres, capas de vestir y bolsas de lona.	Dos niños en jeans azules y camisas de color canela están pie delate de las carpas.
STS2017	track3.es-es	A motocross rider doing a cross jump, wearing protective gear.	A woman wearing black cycling equipment and a white helmet pedals hard uphill on her bicycle.	Un ciclista de motocross haciendo una salto cruzado, usando equipo de protección.	Una mujer usando equipo de ciclismo negro y un casco blanco pedalea con fuerza cuesta arriba en su bicicleta.
STS2017	track3.es-es	A sad man is sitting on the steps of the door in front of a house.	A woman is sitting on the steps of the door in front of a house.	Un hombre triste está sentado en los escalones de la puerta delante de una casa.	Una mujer está sentada en los escalones de la puerta delante de una casa.
STS2017	track3.es-es	People are walking on a sidewalk of the city.	People are walking along a sidewalk in the city.	La gente está caminando en una acera de la ciudad.	La gente está caminando por una acera de la ciudad.
STS2017	track4a.es-en	People show their affection for each other.	A women giving something to other lady.	La gente muestra su afecto el uno por el otro.	A women giving something to other lady.
STS2017	track4a.es-en	Two children are dancing	Kids are dancing.	Dos niños están bailando	Kids are dancing.
STS2017	track4a.es-en	Two fishermen walking to work on the pier.	Two children play in the water by a pier and building.	Dos pescadores caminando a trabajar por el muelle.	Two children play in the water by a pier and building.
STS2017	track4a.es-en	The girl is trying to hit a pinata.	A sad boy in a surfing shirt is swinging on a swing.	La niña está intentando golpear una piñata.	A sad boy in a surfing shirt is swinging on a swing.
STS2017	track4a.es-en	A tracking dog is sniffing the group trying to find the scent of the criminal.	The woman is sniffing the other.	Un perro de rastreo está olfateando al grupo tratando de encontrar el olor del criminal.	The woman is sniffing the other.
STS2017	track4a.es-en	The ponies are friendly.	The ponies are in love	Los ponis son amistosos.	The ponies are in love
